#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Byron Jones,CB,Connecticut,23,6005,199,150.8,3.3,99.9,Jones,6005,199,32,10,76.5,4.43,2.52,1.5,3.94,6.78,18,44.5,12.25
2,Darryl Roberts,CB,Marshall,,5110,187,141.3,2.3,99,Roberts,5110,187,30.63,9.13,,4.36,2.5,1.48,4.06,6.66,28,39,11.08
3,Eric Rowe,CB,Utah,23,6006,205,133.7,1.6,94.4,Rowe,6006,205,31.5,9.5,78.125,4.45,2.61,1.56,3.97,6.7,19,39,10.42
4,Willie Creear,CB,Eastern Michigan,24.9,5086,187,132.1,1.4,92.5,Creear,5086,187,29,9.13,,4.44,2.52,1.49,4.29,7.05,22,47,10.33
5,Josh Shaw,CB,Southern Cal,23.5,6004,201,131.9,1.4,92.3,Shaw,6004,201,30.75,9,75.25,4.44,2.59,1.54,4.12,7.01,26,37.5,10.83
6,Craig Mager,CB,Texas State,23.2,5114,201,131.6,1.4,91.8,Mager,5114,201,29.75,9.25,71.375,4.44,2.58,1.53,4.07,6.83,17,38,10.83
7,Ronald Darby,CB,Florida State,21.8,5105,193,131.2,1.3,91.1,Darby,5105,193,31.375,8.625,74.625,4.38,2.56,1.53,4.14,6.94,15,41.5,10.75
8,Kevin Johnson,CB,Wake Forest,23.1,6002,188,131.1,1.3,91,Johnson,6002,188,31,8.375,73.5,4.52,2.63,1.59,3.89,6.79,,41.5,10.83
9,Justin Cox,CB,Mississippi State,,6005,191,129.3,1.2,87.9,Cox,6005,191,31.25,9,76.625,4.36,2.56,1.53,4.07,6.85,15,38,10.75
10,Bobby McCain,CB,Memphis,22,5094,195,128.6,1.1,86.4,McCain,5094,195,30.5,9,73.875,4.51,2.63,1.59,3.82,6.8,17,36,10.83
11,Dexter McDonald,CB,Kansas,,6006,203,128.3,1.1,85.7,McDonald,6006,203,31.5,8.5,76.875,4.4,2.56,1.56,4.3,6.96,10,40.5,11.17
12,P.J. Williams,CB,Florida State,22.3,6000,194,128.2,1.1,85.5,Williams,6000,194,31,8.625,76.125,4.47,2.55,1.48,4.28,7.08,12,41,11.25
