#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Davis Tull,EDGE,Chattanooga,23.9,6023,246,152.1,2.4,99.3,Tull,6023,246,31.25,9.75,77.375,4.57,2.6,1.52,4.03,7.07,26,42.5,11
2,Vic Beasley,EDGE,Clemson,23.1,6030,246,151.5,2.4,99.2,Beasley,6030,246,32.5,9.375,78.875,4.53,2.65,1.59,4.15,6.91,35,41,10.83
3,Bud Dupree,EDGE,Kentucky,22.6,6040,269,145.7,2,97.5,Dupree,6040,269,32.625,9.75,79.375,4.56,2.65,1.6,4.48,7.52,,42,11.5
4,Owa Odighizuwa,EDGE,UCLA,23.5,6034,267,142.4,1.7,95.6,Odighizuwa,6034,267,33.75,11,81.25,4.62,2.69,1.61,4.19,7.36,25,39,10.58
5,Frank Clark,EDGE,Michigan,22.2,6027,271,141.6,1.7,95.1,Clark,6027,271,34.375,10.125,83.875,4.64,2.63,1.58,4.05,7.08,19,38.5,9.83
6,Nick Seither,EDGE,Georgetown College,,6026,273,141,1.6,94.5,Seither,6026,273,,,,4.65,,,,,31,39,10.08
7,Danielle Hunter,EDGE,LSU,20.9,6051,252,140.4,1.6,94,Hunter,6051,252,34.25,10.5,83.25,4.57,2.67,1.57,4.35,6.95,25,36.5,10.83
8,Randy Gregory,EDGE,Nebraska,22.9,6047,235,138.5,1.4,92.2,Gregory,6047,235,34,10,81.875,4.53,2.65,1.56,4.23,6.8,24,36.5,10.42
9,Shaquille Riddick,EDGE,West Virginia,22.5,6057,244,133.4,1,84.9,Riddick,6057,244,34.25,9.63,81.375,4.62,2.71,1.57,4.34,6.7,19,36,10.33
10,Preston Smith,EDGE,Mississippi State,22.9,6047,271,133,1,84.2,Smith,6047,271,34,10.625,82.375,4.74,2.73,1.6,4.28,7.07,24,34,10.08
11,Eli Harold,EDGE,Virginia,21.8,6031,247,132.9,1,84,Harold,6031,247,33,9.375,79.5,4.6,2.69,1.61,4.16,7.07,24,35,10.25
12,Jamil Cooks,EDGE,Alcorn State,24.4,6026,237,130.7,0.8,79.6,Cooks,6026,237,,,,4.76,2.78,1.67,4.25,7.13,21,39,11.08
13,Josh Shirley,EDGE,UNLV,,6014,234,128.9,0.7,75.6,Shirley,6014,234,33.75,10.25,79.375,4.58,2.65,1.58,4.45,7.39,31,38.5,10.17
