#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
37,Malcolm Johnson,TE,Mississippi State,23.1,6011,231,104.9,-0.9,18,Johnson,6011,231,31.5,9.13,,4.67,2.74,1.66,4.43,7.14,19,32,9.33
38,Andrew Gleichert,TE,Michigan State,23.7,6047,258,104.6,-0.9,17.4,Gleichert,6047,258,,9.38,,4.87,2.89,1.76,4.46,7.37,20,34.5,9.58
39,Jean Sifrin,TE,Massachusetts,28.1,6052,245,104.6,-0.9,17.4,Sifrin,6052,245,33.375,11,82,4.77,2.79,1.65,4.6,7.18,15,33,9.83
40,Raphael Akpejiori,TE,Miami,24.9,6071,252,104.4,-0.9,17.1,Akpejiori,6071,252,35,10.25,,5.09,2.86,1.74,4.65,6.99,16,37.5,10.17
41,Larry Pettis,TE,Louisiana-Lafayette,22.9,6040,249,103.4,-1,15.2,Pettis,6040,249,,,,5.09,2.9,1.71,4.45,7.25,21,37,9.58
42,Justin Tukes,TE,Central Florida,,6041,259,103.4,-1,15.1,Tukes,6041,259,32.5,9.5,,4.82,2.75,1.63,4.66,7.33,21,33,9.17
43,Brock DeCicco,TE,Indiana (PA),24.3,6046,244,103,-1.1,14.5,DeCicco,6046,244,,9.25,,4.88,,,,,15,34.5,10
44,Khari Lee,TE,Bowie State,23.7,6042,258,102.7,-1.1,14.1,Lee,6042,258,33.13,9.5,77.875,5.03,2.87,1.66,4.42,7.62,18,36,9.58
45,Faysal Shafaat,TE,Chattanooga,23.9,6035,242,102.1,-1.1,13.1,Shafaat,6035,242,32.38,10,,4.9,2.86,1.65,4.48,7.12,22,31.5,9.42
46,Shane Young,TE,Sam Houston State,23.6,6031,249,102.1,-1.1,13.1,Young,6031,249,,10.38,,4.86,2.82,1.7,4.47,7.45,25,31.5,9.67
47,E.J. Bibbs,TE,Iowa State,23.8,6020,258,102.1,-1.1,13.1,Bibbs,6020,258,31.125,10.25,76.625,4.88,2.81,1.68,4.52,7.22,22,31.5,9.17
48,Eric Tomlinson,TE,UTEP,23.4,6060,263,101.9,-1.1,12.8,Tomlinson,6060,263,32.875,10,78.625,4.75,2.82,1.73,4.54,7.46,23,31,9.17
49,A.J. Derby,TE,Arkansas,24,6036,255,101,-1.2,11.4,Derby,6036,255,30.5,9.5,75.25,4.72,2.72,1.68,4.51,6.99,15,30,8.92
50,Ben Koyack,TE,Notre Dame,22.4,6047,255,100.8,-1.2,11.1,Koyack,6047,255,32.625,10.75,80.375,4.79,2.78,1.69,4.52,7.32,16,30,9.67
51,Travis Dickson,TE,LSU,23.9,6017,240,100.6,-1.2,10.8,Dickson,6017,240,31.5,9,,4.72,2.78,1.63,4.44,7.23,17,30,9.17
52,Earnest Pettway,TE,Villanova,22.8,6035,235,100.4,-1.2,10.6,Pettway,6035,235,,9.5,,4.89,2.73,1.63,4.66,7.38,22,35,9.58
53,Logan Stokes,TE,LSU,22.9,6034,252,100.2,-1.3,10.3,Stokes,6034,252,32.13,9,,4.72,2.7,1.67,4.56,7.38,21,32.5,8.83
54,Josh Bordner,TE,Boston College,23.3,6035,244,100,-1.3,10.1,Bordner,6035,244,,10.25,,4.82,2.81,1.71,4.34,7.22,18,32,9.08
55,Justin Podrabsky,TE,Idaho,24,6060,252,99.7,-1.3,9.7,Podrabsky,6060,252,,9.25,,4.91,2.78,1.7,4.5,7.34,17,34,9.42
56,Kevin Haplea,TE,Florida State,23.9,6032,249,99.5,-1.3,9.4,Haplea,6032,249,33.25,10.5,,4.73,2.74,1.69,4.63,7.38,24,30,9.42
57,Cliff Murphy,TE,TCU,,6030,280,99.3,-1.3,9.1,Murphy,6030,280,,,,4.97,2.89,1.72,4.82,7.33,24,32,8.83
58,Ronnie Shields,TE,Kentucky,,6046,237,99.2,-1.3,9,Shields,6046,237,,9,,4.74,2.73,1.7,4.45,7.51,13,32.5,9.83
59,Taylor Barnhill,TE,UNLV,23.9,6031,237,99,-1.4,8.8,Barnhill,6031,237,,,,4.88,2.8,1.67,,,22,33.5,9.17
60,Michael Hartvigson,TE,Washington,,6054,251,98.5,-1.4,8.2,Hartvigson,6054,251,,10,,5.03,2.9,1.75,4.43,7.08,15,33.5,9.58
61,Justin Sinz,TE,Purdue,23.9,6040,251,98.4,-1.4,8.1,Sinz,6040,251,,10.13,,4.81,2.78,1.72,4.53,7.32,18,31,9.5
62,Tyreese Russell,TE,Eastern Michigan,22.1,6030,243,98.2,-1.4,7.9,Russell,6030,243,33.5,9.88,,4.88,2.9,1.8,4.51,7.26,13,35,9.75
63,Lucas Hefty,TE,Upper Iowa,22.5,6034,223,98.1,-1.4,7.8,Hefty,6034,223,,10.13,,4.76,2.74,1.64,4.64,7.24,,35,9.08
64,Eric Frohnapfel,TE,Marshall,,6056,239,97.4,-1.5,7,Frohnapfel,6056,239,34.13,10.25,,4.78,2.82,1.68,4.43,7.42,16,30.5,9.5
65,Mike Kinville,TE,Central Michigan,23.4,6030,238,97.3,-1.5,7,Kinville,6030,238,,10.75,,4.9,2.82,1.81,4.46,7.25,20,33.5,9.5
66,Cory White,TE,Florida International,24.7,6037,247,96.7,-1.5,6.4,White,6037,247,,,,4.8,2.76,1.68,4.66,7.22,19,32,9.08
67,Woody Quinn,TE,Tennessee,23.3,6051,248,96.6,-1.5,6.3,Quinn,6051,248,,,,4.98,2.82,1.7,4.52,7.46,16,35.5,9.5
68,Brian Vogler,TE,Alabama,,6065,262,96.4,-1.5,6.1,Vogler,6065,262,34.13,10,81.875,4.84,2.75,1.62,4.62,7.72,17,29.5,9.5
69,Tim Semisch,TE,Northern Illinois,24,6074,256,95.2,-1.6,5.1,Semisch,6074,256,,10,,4.97,2.83,1.71,4.43,7.37,16,31,9.33
70,Jeff LePak,TE,Eastern Illinois,,6054,243,95,-1.6,5,LePak,6054,243,31.38,8.75,,4.9,2.87,1.73,4.29,6.91,11,29,9.25
71,Charles Brooks,TE,Findlay,24.9,6040,245,93.7,-1.7,4,Brooks,6040,245,,,,4.84,2.78,1.66,4.8,7.59,13,34,9.58
72,Charles Torwudzo,TE,Purdue,23.8,6041,222,93.3,-1.8,3.8,Torwudzo,6041,222,,,,4.81,2.75,1.71,4.44,7.27,13,31.5,9.5
73,Tevin Westbrook,TE,Florida,,6051,257,93,-1.8,3.6,Westbrook,6051,257,,,,4.94,2.88,1.71,4.71,7.24,18,30,9.33
74,Bryant Watts,TE,Wagner,,6047,258,92.6,-1.8,3.4,Watts,6047,258,,10.13,,5.14,2.9,1.72,4.57,7.46,12,33,9.75
75,Clay Burton,TE,Florida,,6036,259,92,-1.9,3.1,Burton,6036,259,31.5,9.5,,5.03,2.86,1.76,4.56,7.44,24,30,9.25
76,Tyson Heller,TE,Portland State,24,6025,235,91.9,-1.9,3,Heller,6025,235,,,,4.92,2.81,1.69,4.53,7.33,19,31.5,9.17
77,Nick O'Leary,TE,Florida State,23,6032,252,91.5,-1.9,2.8,O'Leary,6032,252,29.75,9.375,74,4.93,2.94,1.81,4.5,7.4,21,30.5,9.17
78,Bradley Miller,TE,Texas State,24,6044,244,91.5,-1.9,2.8,Miller,6044,244,,,,5,2.88,1.7,4.4,7.28,15,28,9.67
79,Ray J. Brown,TE,Notre Dame (OH),,6025,240,90.2,-2,2.2,Brown,6025,240,,9.25,,4.87,2.8,1.7,4.58,7.37,17,31,9.08
80,Steven Jones,TE,East Stroudsburg,,6037,254,89.7,-2,2,Jones,6037,254,,8.63,,4.96,2.83,1.73,4.9,8,23,32,9.58
