#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Kristjan Sokoli,OC,Buffalo,24,6050,290,155.4,4.3,100,Sokoli,6050,290,33.25,10,79.5,4.84,2.68,1.55,4.36,7.25,31,38,9.92
2,Nick Easton,OC,Harvard,23.3,6026,303,126.6,1.9,97.3,Easton,6026,303,31.13,10.38,77.375,5.1,2.9,1.64,4.6,7.73,29,30.5,9.33
3,Ali Marpet,OG,Hobart,22.8,6037,307,124.7,1.8,96.5,Marpet,6037,307,33.375,10,80.125,4.98,2.87,1.71,4.47,7.33,30,30.5,9
4,Jake Fisher,OT,Oregon,22.5,6061,306,127.1,1.7,95.8,Fisher,6061,306,33.75,10.375,82,5.01,2.97,1.8,4.33,7.25,25,32.5,9.83
5,Mark Glowinski,OG,West Virginia,,6043,307,123.6,1.7,95.7,Glowinski,6043,307,33.125,9.75,78.75,5.12,2.9,1.71,4.58,7.56,31,31,9.42
6,A.J. Cann,OG,South Carolina,24,6026,313,123.4,1.7,95.6,Cann,6026,313,32.625,10.25,79,5.18,,1.75,4.47,7.44,30,32.5,9.08
7,Michael Liedtke,OG,Illinois State,23.7,6036,305,122.4,1.6,94.7,Liedtke,6036,305,33.13,10.25,,4.91,2.77,1.73,4.7,7.35,28,33,9.42
8,Austin Reiter,OC,South Florida,,6026,301,122.3,1.6,94.2,Reiter,6026,301,32,9.5,,5.12,2.83,1.71,4.53,7.65,32,34,8.92
9,Brandon Scherff,OG,Iowa,23.8,6045,319,118.6,1.3,90.5,Scherff,6045,319,33.375,11,80.25,5.05,2.98,1.8,4.57,7.18,23,32.5,8.92
10,Laurence Gibson,OT,Virginia Tech,24.5,6056,305,121.3,1.3,90.2,Gibson,6056,305,35.125,10.375,85.875,5.04,2.89,1.71,4.56,7.72,24,33.5,9.42
11,Tyreek Burwell,OT,Cincinnati,,6052,302,120.9,1.3,89.6,Burwell,6052,302,,10.13,,4.97,2.87,1.69,4.79,7.58,30,32.5,9.08
12,Andre Davis,OG,Buffalo,,6037,314,117.5,1.2,88.9,Davis,6037,314,,10.25,,5.06,2.9,1.71,4.77,7.84,23,32.5,9.25
13,Jesse Davis,OT,Idaho,24,6057,309,118.3,1.1,85.6,Davis,6057,309,,9.63,,5.28,3.02,1.7,4.85,7.41,26,30.5,9
14,Donovan Smith,OT,Penn State,22.2,6055,338,118.2,1.1,85.4,Smith,6055,338,34.375,10.625,83,4.98,2.91,1.75,4.79,7.95,26,32,9.08
15,Mitch Morse,OG,Missouri,23.4,6053,305,115.1,1,84.7,Morse,6053,305,32.25,9.25,76.75,5.14,3.04,1.86,4.5,7.6,36,31,9.33
16,Laken Tomlinson,OG,Duke,23.6,6033,323,113.6,0.9,81.6,Tomlinson,6033,323,33.625,10.125,82.75,5.2,2.94,1.75,4.71,7.77,25,31.5,9
17,Shaq Mason,OC,Georgia Tech,22,6016,304,113.1,0.8,78.7,Mason,6016,304,32.13,9.5,72.375,4.97,2.82,1.75,4.65,7.53,25,32,9.17
18,Tyler Sulka,OG,Arizona State,,6042,290,112.2,0.8,78.5,Sulka,6042,290,,,,4.95,2.88,1.7,4.56,7.45,18,29.5,9.33
19,Jarvis Harrison,OG,Texas A&M,23.8,6041,330,111.9,0.8,77.8,Harrison,6041,330,33.5,9.75,81.375,5.19,2.99,1.77,4.62,7.51,26,29.5,8.5
20,Cameron Clear,OT,Texas A&M,22.6,6053,277,114.2,0.8,77.3,Clear,6053,277,33.625,9.625,82,4.9,2.82,1.7,4.48,7.52,,33.5,9
21,Bryce Redman,OC,Houston,23.9,6012,297,112.2,0.7,76.4,Redman,6012,297,32.25,9.75,,5.26,2.98,1.75,4.78,7.89,38,31.5,9
22,Jamon Brown,OT,Louisville,22.5,6035,323,113.7,0.7,76.2,Brown,6035,323,34.375,9.75,81.625,5.08,2.95,1.74,4.61,7.36,28,28,8.58
23,Cameron Erving,OC,Florida State,23,6054,313,111.8,0.7,75.5,Erving,6054,313,34.125,10.375,84.125,5.15,3.03,1.87,4.63,7.48,30,30.5,9.33
