#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
37,George Farmer,WR,Southern Cal,22.2,6006,213,120.2,0.4,65.4,Farmer,6006,213,33,8.63,,4.39,2.57,1.56,4.27,7,19,34.5,10.25
38,Nigel King,WR,Kansas,22.9,6021,214,120.1,0.4,65.2,King,6021,214,31.63,9.5,75.875,4.56,2.53,1.6,4.38,6.97,15,39.5,10.67
39,Jackie Williams,WR,Central Florida,23.8,5095,190,120.1,0.4,65.1,Williams,5095,190,31.25,9.13,,4.64,2.65,1.57,4.34,6.58,17,39.5,10.75
40,Devin Smith,WR,Ohio State,23.6,6003,196,120.1,0.4,65.1,Smith,6003,196,31,9,75.125,4.42,2.59,1.56,4.15,6.83,10,39,10.17
41,Austin Hill,WR,Arizona,24.1,6021,214,119.9,0.4,64.4,Hill,6021,214,31.63,9.75,77,4.58,2.72,1.62,4.11,6.72,17,36.5,10.08
42,Isaac Fruechte,WR,Minnesota,24.6,6025,209,119.8,0.4,64.2,Fruechte,6025,209,30.5,9.38,,4.5,2.57,1.54,4.22,6.89,11,36,10.58
43,Mario Alford,WR,West Virginia,22.6,5084,180,119.7,0.3,63.6,Alford,5084,180,31.25,9.375,74.375,4.27,2.46,1.5,4.07,6.64,13,34,10.08
44,Dezmin Lewis,WR,Central Arkansas,22.9,6036,214,119.5,0.3,62.9,Lewis,6036,214,32.5,9.875,78.125,4.46,2.4,1.56,4.28,7.11,16,37,10.33
45,Ricky Zorn,WR,Harvard,24.3,6001,191,119.4,0.3,62.8,Zorn,6001,191,29.5,9,,4.54,2.57,1.47,4.17,6.67,14,38,9.92
46,Reggie Bell,WR,San Diego,23.3,5107,196,119.2,0.3,61.9,Bell,5107,196,30.38,9.25,74.875,4.6,2.58,1.52,4.26,6.83,,40,10.33
47,Matt James,WR,Wake Forest,23.9,6045,211,118.6,0.3,60.1,James,6045,211,,9.38,,4.55,2.64,1.58,4.44,6.71,16,36,10.67
48,Tyler McCulloch,WR,Colorado,22.4,6045,218,118.3,0.2,59.2,McCulloch,6045,218,,,,4.49,2.58,1.55,4.3,7.23,9,37,10.83
