#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
37,Bobby Richardson,DT,Indiana,23.8,6025,283,111.1,0,50,Richardson,6025,283,34.625,11,82.75,4.99,2.85,1.73,4.41,7.57,24,32.5,9.17
38,Quayshawne Buckley,DT,Idaho,24,6023,291,110.9,0,49.5,Buckley,6023,291,32.5,10.75,80.25,5.03,2.9,1.75,4.65,7.58,22,35,9.25
39,Leonard Williams,DT,Southern Cal,21.2,6045,302,110.7,0,48.9,Williams,6045,302,34.625,10.625,82.625,4.97,2.88,1.73,4.53,7.59,,29.5,8.83
40,Thomas Teal,NT,North Carolina State,,6007,292,105.5,-0.1,46.7,Teal,6007,292,33.38,9,,5.03,2.91,1.65,4.51,7.58,20,27.5,8.58
41,Joe Okafor,DT,Lamar,24.3,6064,305,109.3,-0.1,44.9,Okafor,6064,305,32.5,10,,5.11,2.93,1.65,4.68,7.39,26,27,8.17
42,Josh Bredl,DT,Colorado State-Pueblo,24.7,6060,290,109.3,-0.1,44.8,Bredl,6060,290,,9.88,,5.1,2.84,1.75,4.7,7.51,28,32.5,9
43,DeShawn Williams,DT,Clemson,22.8,6004,303,108.7,-0.2,43.3,Williams,6004,303,32.25,9.25,78.125,5.02,2.94,1.71,4.66,7.7,28,30,8.75
44,Jordan Williams,DT,Tennessee,22.5,6044,289,108.4,-0.2,42.4,Williams,6044,289,31.63,10,77.875,4.97,2.92,1.8,4.45,7.61,22,30,9.67
45,Casey Davenport,DT,Winston-Salem,27.1,6014,283,108.4,-0.2,42.4,Davenport,6014,283,,9.5,,4.98,2.89,1.7,4.57,7.52,25,29,9.17
46,Patrick Mertens,DT,Wyoming,24.9,6041,285,108,-0.2,41.1,Mertens,6041,285,,9.5,,5.09,2.95,1.83,4.58,7.51,,30.5,9.67
47,Lexington Smith,DT,Northern Colorado,,6022,324,107.3,-0.3,39.3,Smith,6022,324,,9.75,,5.17,2.82,1.79,4.94,7.82,27,28.5,9.08
48,Cameron Beard,DT,Cincinnati,24,6045,286,107.2,-0.3,39,Beard,6045,286,,9.63,,4.85,2.82,1.68,4.69,7.51,20,28.5,9
