#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
37,Gabe Martin,ILB,Bowling Green,23.3,6020,234,120.7,0,50.8,Martin,6020,234,32.5,10,,4.58,2.62,1.59,4.47,7.26,23,35.5,10.08
38,Curtis Grant,ILB,Ohio State,,6024,240,119.7,-0.1,47.7,Grant,6024,240,32,10,,4.7,2.69,1.65,4.42,7.25,21,36,10.42
39,Mike Hull,ILB,Penn State,24.3,5117,237,119.7,-0.1,47.6,Hull,5117,237,30.5,9.375,73.5,4.65,2.7,1.6,4.15,6.99,31,30.5,9.17
40,Jacoby Hale,ILB,Utah,23.4,5117,231,119.6,-0.1,47.4,Hale,5117,231,,8.75,,4.55,2.65,1.6,4.43,7.26,26,33,10.08
41,Forisse Hardin,ILB,Indiana,22.4,5113,223,119.3,-0.1,46.5,Hardin,5113,223,,,,4.62,2.63,1.57,4.5,6.93,20,35.5,10
42,Martrell Spaight,ILB,Arkansas,22.1,5117,236,118.8,-0.1,44.7,Spaight,5117,236,32.75,9.125,78.125,4.8,2.81,1.64,4.28,7.1,25,35,10
43,Edwin Jackson,ILB,Georgia Southern,23.8,5111,228,118.5,-0.2,43.7,Jackson,5111,228,30.5,9.38,75.25,4.72,2.74,1.66,4.4,7.15,30,35.5,10
44,Shaq Thompson,ILB,Washington,21.4,6001,228,118.4,-0.2,43.2,Thompson,6001,228,33,9.5,79,4.64,2.75,1.69,4.08,6.99,20,33.5,9.75
45,Kaleb Muse,ILB,Southeast Louisiana,,5110,242,118.1,-0.2,42.3,Muse,5110,242,,,,4.73,2.69,1.69,4.47,7.28,21,37.5,10.42
46,Matt Robinson,ILB,Maryland,23.8,6031,247,117.9,-0.2,41.8,Robinson,6031,247,32.38,9.25,,4.73,2.76,1.63,4.24,7.08,13,34,10.08
47,Andrew Bose,ILB,Rhode Island,,6011,234,117.9,-0.2,41.8,Bose,6011,234,32,9.5,,4.71,2.73,1.67,4.37,7.2,25,35,10.17
48,Brandon Golson,ILB,West Virginia,,6015,226,117.5,-0.2,40.6,Golson,6015,226,,,,4.68,2.69,1.59,4.38,7.07,22,33,10.17
49,Tavarus Dantzler,ILB,Bethune-Cookman,24,6020,233,117.2,-0.3,39.6,Dantzler,6020,233,33.75,9.63,,4.65,2.65,1.57,4.53,7.25,21,35.5,10.08
50,Marke Powell,LB,Winston-Salem,24,6034,235,116.7,-0.3,38.7,Powell,6034,235,,9.38,,4.73,2.8,1.58,4.54,7.56,33,36.5,9.92
51,A.J. Tarpley,ILB,Stanford,23.4,6002,232,116.8,-0.3,38.3,Tarpley,6002,232,30.75,9.5,74.25,4.75,2.7,1.61,4.29,6.99,24,34,9.58
52,Quayshawn Nealy,ILB,Georgia Tech,24,6000,236,116.7,-0.3,38,Nealy,6000,236,31,8.88,73.5,4.69,2.69,1.61,4.34,7.17,20,35.5,9.67
98,Denzel Perryman,ILB,Miami,22.8,5106,236,116.7,-0.3,38,Perryman,5106,236,31.875,9.5,74.625,4.7,2.65,1.61,4.39,7.07,30,33,9.42
53,Jared Koster,OLB,New Mexico Highlands,,6005,223,115.4,-0.4,35.8,Koster,6005,223,30,9.25,,4.56,2.63,1.63,4.41,7.32,17,37,9.92
54,Jonathan Anderson,ILB,TCU,,6011,231,115.9,-0.4,35.5,Anderson,6011,231,31.88,9.13,,4.52,2.7,1.62,4.68,7.36,26,34.5,10.17
55,Todd Thomas,ILB,Pittsburgh,24.4,6013,233,115.3,-0.4,33.5,Thomas,6013,233,32.38,9.88,76.375,4.69,2.69,1.56,4.4,7.03,15,32,10.17
56,Collin Garrett,ILB,Stephen F. Austin,22.5,5115,235,115.2,-0.4,33.4,Garrett,5115,235,,9.38,,4.74,2.73,1.68,4.26,7.26,21,38,9.5
57,Yannik Cudjoe-Virgil,OLB,Maryland,,6021,248,114.2,-0.5,32.4,Cudjoe-Virgil,6021,248,32.625,9.75,77.625,4.8,2.73,1.65,4.25,7.18,27,30,9.83
58,Travis Williams,OLB,Youngstown State,24.8,6025,225,114.1,-0.5,32.3,Williams,6025,225,,9.25,,4.67,2.53,1.54,4.46,7.18,,32.5,9.92
59,Zach Vigil,ILB,Utah State,24.5,6020,236,114.9,-0.5,32.3,Vigil,6020,236,32.5,10,76.5,4.67,2.71,1.57,4.41,7.11,26,32,9.42
60,Efrem Oliphant,ILB,Houston,24.5,6003,228,114.9,-0.5,32.3,Oliphant,6003,228,32.75,9.5,,4.72,2.78,1.62,4.38,6.99,27,32,9.75
61,David Mayo,ILB,Texas State,22.1,6010,235,114.8,-0.5,32.1,Mayo,6010,235,30.5,9.5,74.5,4.7,2.68,1.64,4.31,7.15,24,34.5,9.42
