#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
38,Joe Kerridge,FB,Michigan,24,6000,245,108.9,-0.1,47.1,Kerridge,6000,245,,,,4.89,2.74,1.73,4.24,7.09,24,34.5,9.75
39,Savon Huggins,RB,Northern Iowa,,5105,208,120.4,-0.1,47,Huggins,5105,208,,,,4.58,2.6,1.59,4.25,7.1,22,35,10.25
40,C.J. Prosise,RB,Notre Dame,22.3,6004,220,120.2,-0.1,46.5,Prosise,6004,220,32.125,8.5,75.75,4.48,2.64,1.57,4.42,7.19,,35.5,10.08
41,David Jones,RB,Portland State,,5111,210,120,-0.1,45.9,Jones,5111,210,,,,4.65,2.68,1.63,4.02,7.08,16,36,10.08
42,Ezekiel Elliott,RB,Ohio State,21.1,5116,225,120,-0.1,45.7,Elliott,5116,225,31.25,10.25,75.375,4.47,2.62,1.58,,,,32.5,9.83
43,Keith Marshall,RB,Georgia,22.5,5113,219,119.5,-0.1,44.3,Marshall,5113,219,31.625,9.375,76.625,4.31,2.51,1.49,4.25,6.98,25,30.5,
44,Ben Hutchins,RB,Grand Valley State,,5073,186,119.3,-0.2,43.6,Hutchins,5073,186,,,,4.69,2.69,1.57,4.18,6.88,21,35,10.33
45,Jordan Jurasevich,FB,Purdue,,6030,248,107.7,-0.2,43.6,Jurasevich,6030,248,,,,4.86,2.79,1.72,4.52,7.38,26,35.5,10.25
46,Jeff Seybold Jr,RB,Pittsburg State,,5085,209,118.9,-0.2,42.2,Seybold Jr,5085,209,,,,4.65,2.63,1.55,4.25,6.89,20,35,9.58
47,Don Jackson,RB,Nevada,23,5100,205,118.8,-0.2,41.9,Jackson,5100,205,,,,4.5,2.62,1.59,4.34,7.09,15,38.5,9.83
48,Jordan Parker,RB,Middle Tennessee State,,6007,220,118.7,-0.2,41.6,Parker,6007,220,,,,4.69,2.68,1.62,4.39,7.13,20,36,10.42
49,Derek Lockhart,FB,Midwestern State,,6010,235,106.9,-0.2,41.1,Lockhart,6010,235,,,,4.76,2.74,1.64,4.39,7.43,12,35.5,9.67
50,Jacobi Green,RB,Richmond,,5090,204,118,-0.3,39.4,Green,5090,204,,,,4.63,2.56,1.56,4.17,7.02,23,33.5,9.83
51,Romar Morris,RB,North Carolina,23.9,5085,188,117.5,-0.3,37.8,Morris,5085,188,,,,4.36,2.57,1.59,4.31,6.87,15,38,9.67
52,Jarrod Lynn,FB,North Texas,,5105,240,105.2,-0.3,36.6,Lynn,5105,240,,,,4.77,2.65,1.66,4.5,7.31,17,35.5,9.5
53,Ryan Jackson,RB,Houston,,5094,189,116.6,-0.4,35.4,Jackson,5094,189,,,,4.62,2.66,1.63,4.2,7.08,,37,10.42
54,Cedrick ONeal,RB,Valdosta State,,5106,204,116.6,-0.4,35.3,ONeal,5106,204,,,,4.56,2.66,1.63,4.35,7.07,14,37,10.33
55,Kenyan Drake,RB,Alabama,22.6,6005,210,116.6,-0.4,35.3,Drake,6005,210,31.75,9.75,75.25,4.45,2.64,1.64,4.21,7.04,10,34.5,10.25
56,Adam Cox,FB,Iowa,,5102,238,104.6,-0.4,34.9,Cox,5102,238,,,,4.76,2.78,1.66,4.39,7.21,25,34,9.08
57,Kyle Coleman,FB,Arkansas-Pine Bluff,,6005,231,104.5,-0.4,34.6,Coleman,6005,231,,,,4.69,2.67,1.65,4.52,7.44,20,35.5,9.58
58,Broderick Snoddy,RB,Georgia Tech,,5085,192,116.3,-0.4,34.4,Snoddy,5085,192,,,,4.46,2.6,1.55,4.22,7.08,15,32,10.33
59,Miles Thomas,FB,Minnesota,,5101,241,104.4,-0.4,34.3,Thomas,5101,241,,,,4.82,2.76,1.64,4.38,7.32,32,31,9.33
60,C.J. Ham,RB,Augustana (SD),23.1,5112,231,115.6,-0.5,32.3,Ham,5112,231,,,,4.69,2.64,1.62,4.35,7.4,22,37,9.83
61,Tra Carson,RB,Texas A&M,23.9,5112,227,115.5,-0.5,31.9,Carson,5112,227,31.5,9.25,76.375,4.64,2.63,1.65,4.27,7.1,19,37,9.58
62,J.C. Coleman,RB,Virginia Tech,,5060,189,114.6,-0.5,29.4,Coleman,5060,189,,,,4.55,2.59,1.59,4.27,7.02,19,37,9.75
63,Adam Hine,FB,BYU,,6005,213,102.4,-0.6,28.9,Hine,6005,213,,,,4.76,2.73,1.65,,,21,32,9.92
64,Tre Madden,RB,Southern Cal,23,6002,223,114.2,-0.6,28.2,Madden,6002,223,29.75,9.375,72.875,4.56,2.66,1.64,4.38,7.09,24,33.5,10
65,Jordan Howard,RB,Indiana,21.8,5117,230,114.2,-0.6,28.2,Howard,5117,230,32.25,9,75.625,4.59,2.68,1.66,4.34,7.14,16,34,10.17
66,Trevon Pendleton,FB,Michigan State,,5106,241,102,-0.6,28,Pendleton,5106,241,,,,4.83,2.73,1.68,4.47,7.12,24,34,9.08
67,Paul Perkins,RB,UCLA,21.8,5103,208,114,-0.6,27.8,Perkins,5103,208,31.625,9,75.125,4.54,2.69,1.62,,,19,32,10.33
68,Devon Johnson,RB,Marshall,23.1,6004,238,113.9,-0.6,27.5,Johnson,6004,238,31.25,9.25,76.625,4.61,2.68,1.53,4.6,7.09,,33,9.42
69,Peyton Barber,RB,Auburn,22.2,5100,228,113.8,-0.6,27.3,Barber,5100,228,30.25,9.375,73.875,4.6,2.68,1.59,4.21,7,20,32.5,9.25
70,Khairi Dickson,RB,St. Francis (PA),,5103,201,113.7,-0.6,26.9,Dickson,5103,201,,,,4.75,2.7,1.57,4.38,7.11,24,34.5,10.08
71,Jordan Canzeri,RB,Iowa,,5076,190,113.5,-0.6,26.6,Canzeri,5076,190,,,,4.49,2.64,1.58,4.17,6.81,20,34.5,9.33
72,Tim Gay,FB,Texas State,,5106,259,101.4,-0.6,26.5,Gay,5106,259,,,,4.89,2.78,1.69,4.41,7.37,18,33,9.17
73,Kelsey Young,RB,Boise State,,5097,200,113.4,-0.6,26.2,Young,5097,200,,,,4.53,2.67,1.63,4.2,7.09,15,35,10
74,Chris Hairston,RB,East Carolina,,5110,199,113.2,-0.7,25.7,Hairston,5110,199,,,,4.54,2.6,1.59,4.34,7.15,18,33,10.33
75,Cedric Thompson,FB,Central Florida,,6000,238,100.8,-0.7,25.2,Thompson,6000,238,,,,4.85,2.84,1.67,4.32,7.12,23,28,9.67
76,Elad Covaliu,RB,Saint Anselm,,5094,199,112.8,-0.7,24.7,Covaliu,5094,199,,,,4.7,2.63,1.61,4.09,7.13,16,35,9.83
77,Anthony Bilal,RB,Lake Erie,,5061,185,112.7,-0.7,24.4,Bilal,5061,185,,,,4.62,2.62,1.66,4.26,7.19,20,40.5,10
78,Lamonte Thompson,RB,North Alabama,,5065,179,112.6,-0.7,24.2,Thompson,5065,179,,,,4.53,2.55,1.56,4.31,7.01,20,36,9.75
79,Macon Plewa,FB,Iowa,,6007,250,100.3,-0.7,24,Plewa,6007,250,,,,4.83,2.81,1.69,4.45,6.9,19,31,9.08
80,Daiquone Ford,RB,Findlay,,5062,177,112.1,-0.7,23,Ford,5062,177,,,,4.65,2.66,1.56,4.38,7,20,36,10.08
81,Keenan Reynolds,RB,Navy,21.7,5094,190,112,-0.7,22.7,Reynolds,5094,190,,,,4.57,2.64,1.62,,,15,37,10
82,Sione Houma,FB,Michigan,,5113,243,99.5,-0.8,22.3,Houma,5113,243,,,,4.87,2.77,1.71,4.46,7,27,31,9.33
83,Sam Bergen,FB,Rutgers,,5112,248,99.5,-0.8,22.2,Bergen,5112,248,,,,4.87,2.82,1.65,4.46,7.51,28,30.5,9.42
84,Storm Barrs-Woods,RB,Oregon State,,5111,211,111.8,-0.8,22.1,Barrs-Woods,5111,211,,,,4.71,2.77,1.66,4.38,7.15,17,37,10.17
85,Donnell Alexander,RB,Akron,,5094,203,111.7,-0.8,22,Alexander,5094,203,,,,4.63,2.66,1.62,4.19,6.93,20,34,9.58
86,Adrian Sterling,RB,Florida Atlantic,,5063,184,111.4,-0.8,21.2,Sterling,5063,184,,,,4.5,2.58,1.52,4.16,7.22,16,34,9.5
87,Cameron McDondle,RB,Colorado State-Pueblo,,5061,212,111.1,-0.8,20.7,McDondle,5061,212,,,,4.64,,,4.26,7.06,17,34.5,9.58
88,Kendall Roberson,RB,East Texas Baptist,,5076,200,110.8,-0.8,19.8,Roberson,5076,200,,,,4.59,2.65,1.63,4.2,7,18,34,9.75
89,Shadrach Thornton,RB,North Carolina State,,5115,217,110.8,-0.8,19.8,Thornton,5115,217,30,9.75,73.375,4.67,2.69,1.6,4.21,6.85,12,31,9.67
90,Dakota Gordon,FB,San Diego State,,5093,236,98.2,-0.9,19.5,Gordon,5093,236,,,,4.81,2.76,1.69,4.44,7.18,30,31,9.17
91,C.J. Davidson,RB,Clemson,,5093,201,109.4,-1,16.8,Davidson,5093,201,,,,4.59,2.69,1.68,4.53,7.22,19,37.5,10.5
92,Alex De La Torre,FB,Texas,,6003,251,96.8,-1,16.7,De La Torre,6003,251,,,,4.91,2.83,1.68,4.38,7.33,25,28,9.42
93,Shaquille Powell,RB,Duke,,5091,210,108.9,-1,15.9,Powell,5091,210,,,,4.63,2.72,1.62,4.23,7.07,23,31.5,9.67
94,Chris Swain,FB,Navy,,5114,249,96.1,-1,15.6,Swain,5114,249,,,,4.72,2.76,1.62,4.69,7.47,23,30,9.17
95,Taylor Cox,RB,Kansas,,5105,208,108.1,-1.1,14.4,Cox,5105,208,,,,4.69,2.64,1.6,4.41,7.36,18,37,9.58
96,DeVontae McNeal,RB,Louisiana-Monroe,,5101,219,108,-1.1,14.3,McNeal,5101,219,,,,4.63,2.67,1.67,4.63,7.2,28,38,9.67
