#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
39,Zack Oliver,QB,Northwestern,,6032,223,94.3,-0.2,42.7,Oliver,6032,223,,,,4.87,2.8,1.7,4.38,7.18,,34,8.92
40,Seth Higgins,QB,Morgan State,,6040,241,94.3,-0.2,42.6,Higgins,6040,241,,,,4.94,,,4.75,7.2,,34.5,9.42
41,Trevone Boykin,QB,TCU,23,6000,212,94,-0.2,41.9,Boykin,6000,212,31.625,9.375,76,4.77,2.76,1.66,4.4,,,32,9.17
42,Dalyn Williams,QB,Dartmouth,,5106,205,92.4,-0.3,38.4,Williams,5106,205,,,,4.86,2.79,1.69,4.34,7.41,,32,9.67
43,Cody Kessler,QB,Southern Cal,23.3,6012,220,90.6,-0.4,34.3,Kessler,6012,220,32.625,10.875,77,4.89,2.9,1.68,4,7.32,,29.5,8.67
44,John Gibbs Jr.,QB,Alcorn State,,6052,226,90.4,-0.4,33.9,Gibbs Jr.,6052,226,,,,4.75,2.78,1.72,4.55,7.28,12,28.5,9.67
45,James Harris,QB,California (PA),,6011,215,90,-0.4,33.1,Harris,6011,215,,,,4.88,2.74,1.63,4.37,7.27,11,30.5,9.17
46,Mike Bercovici,QB,Arizona State,,6004,206,90,-0.4,33,Bercovici,6004,206,,,,4.84,2.81,1.64,4.27,6.82,,28,8.83
47,Everett Golson,QB,Florida State,,5111,200,89.8,-0.4,32.7,Golson,5111,200,,,,4.85,2.77,1.74,4.35,7.25,,32,9.5
48,Brandon Allen,QB,Arkansas,24,6013,217,89.2,-0.5,31.5,Allen,6013,217,31.25,8.875,74.875,4.84,2.82,1.71,4.33,7.06,,28,9.17
49,Jacoby Brissett,QB,North Carolina State,23.7,6036,231,89,-0.5,31,Brissett,6036,231,32.25,9.75,79.375,4.94,2.93,1.79,4.53,7.17,,31,9.42
50,Christian LeMay,QB,Jacksonville State,,6023,215,88.7,-0.5,30.3,LeMay,6023,215,,,,4.84,2.77,1.76,,,,30,9.33
51,Kwashaun Quick,QB,North Carolina A&T,,6001,191,88.4,-0.5,29.8,Quick,6001,191,,,,4.77,2.82,1.71,4.6,7.66,11,34.5,10.08
52,Jake Rudock,QB,Michigan,23.6,6030,207,88.3,-0.5,29.5,Rudock,6030,207,,,,4.88,2.84,1.75,4.22,7.09,,29,9.25
53,Johnathan Williams,QB,Grambling State,,5100,197,87.9,-0.6,28.9,Williams,5100,197,,,,4.68,2.71,1.74,4.45,7.38,11,31,9.5
54,Michael Cummings,QB,Kansas,,5097,225,87.7,-0.6,28.4,Cummings,5097,225,,,,5.04,2.82,1.68,,,21,29,9.75
55,Carson Barnett,QB,Samford,,6004,197,87.6,-0.6,28.2,Barnett,6004,197,,,,4.71,2.71,1.63,4.56,7.36,,32.5,8.92
56,Dallas Tidwell,QB,Troy,,6071,220,87.5,-0.6,28,Tidwell,6071,220,,,,5.09,2.98,1.69,4.43,7.15,,30.5,9.33
57,Alex Ross,QB,Coastal Carolina,,6004,205,87.5,-0.6,27.9,Ross,6004,205,,,,4.87,2.84,1.68,4.4,7.16,,31.5,8.92
58,Jared Goff,QB,California,21.9,6040,215,86.5,-0.6,26,Goff,6040,215,32.75,9,77.875,4.82,2.71,1.65,4.47,7.17,,27,9.17
59,Mark Iannotti,QB,Southern Illinois,,6015,216,86.1,-0.7,25.3,Iannotti,6015,216,,,,4.92,2.82,1.69,4.4,7.23,,30.5,8.92
60,Blake Decker,QB,UNLV,,6001,212,85.6,-0.7,24.4,Decker,6001,212,,,,4.93,,,4.47,7.2,,30,9.33
61,Preston Rabb,QB,West Texas A&M,,6067,215,85.1,-0.7,23.4,Rabb,6067,215,,,,4.74,2.83,1.71,4.57,7.25,,29.5,8.92
62,Joe Licata,QB,Buffalo,,6020,213,85,-0.7,23.2,Licata,6020,213,,,,4.93,2.9,1.78,4.44,7.07,,31,9
63,Nate Sudfeld,QB,Indiana,22.9,6061,234,84.7,-0.7,22.7,Sudfeld,6061,234,34.25,9.875,81,4.93,2.92,1.79,4.48,7.42,,29.5,9.25
64,Ammon Olsen,QB,Southern Utah,,6027,220,84.1,-0.8,21.8,Olsen,6027,220,,,,4.97,2.8,1.64,4.5,7.31,,28.5,9.17
65,Dontreal Pruitt,QB,Troy,,5100,183,83.3,-0.8,20.5,Pruitt,5100,183,,,,4.86,2.79,1.62,4.45,7.55,13,31,9.5
66,Joe Gray,QB,San Jose State,,6000,203,82.7,-0.9,19.4,Gray,6000,203,,,,4.9,2.86,1.69,4.42,7.2,14,29.5,9
67,Michael Eubank,QB,Samford,,6045,246,80.6,-1,16.3,Eubank,6045,246,,,,5.18,2.92,1.7,4.71,7.84,,28,9.75
68,Jonathan Newsom,QB,Northern Colorado,,6007,194,79.6,-1,14.9,Newsom,6007,194,,,,4.84,,1.79,4.48,7.14,12,31,8.83
69,Drew Powell,QB,Livingstone,,6005,226,78.7,-1.1,13.7,Powell,6005,226,,,,4.95,2.85,1.7,4.57,7.41,17,29.5,8.67
70,Joe Callahan,QB,Wesley,23.2,6011,216,78.3,-1.1,13.2,Callahan,6011,216,,,,4.98,2.81,1.78,4.7,7.47,18,33,8.92
71,Jesse Scroggins,QB,Lindenwood,,6014,220,78.1,-1.1,12.9,Scroggins,6014,220,,,,5.05,2.84,1.84,4.47,,,28.5,9.25
72,Jaquez Johnson,QB,Florida Atlantic,,5113,234,74.7,-1.3,9.2,Johnson,5113,234,,,,5.04,2.95,1.76,4.58,7.53,,28.5,8.75
73,Nick Arbuckle,QB,Georgia State,,6000,225,74.2,-1.4,8.7,Arbuckle,6000,225,,,,5.23,2.96,1.69,4.65,7.27,,27,8.92
74,Kade Bell,QB,Jacksonville,,5106,192,72,-1.5,6.9,Bell,5106,192,,,,4.93,2.75,1.65,4.55,7.4,,28,8.58
75,Moses Skillon,QB,Morgan State,,6050,240,69.2,-1.6,5,Skillon,6050,240,,,,5.1,,,4.7,7.71,14,27,8.75
76,Brandon Doughty,QB,Western Kentucky,,6026,213,66.8,-1.8,3.7,Doughty,6026,213,32,9.125,77.875,5.22,3.01,1.81,4.52,7.49,,27,8.58
77,Brendan Boylan,QB,Mercyhurst,,6006,198,66.5,-1.8,3.6,Boylan,6006,198,,,,5.06,2.94,1.71,4.39,7.26,6,26,8.33
