#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Justin Zimmer,DT,Ferris State,,6025,302,138.6,2,97.6,Zimmer,6025,302,32.75,,,4.91,2.84,1.69,4.42,7.09,44,32,9.75
2,David Onyemata,DT,Manitoba,,6032,300,136.1,1.8,96.3,Onyemata,6032,300,,,,5.07,2.89,1.66,4.69,7.25,33,33,9.92
3,Connor Wujciak,DT,Boston College,23.9,6024,291,131.8,1.5,93.1,Wujciak,6024,291,33.25,10,80.375,4.91,2.85,1.69,4.27,7.32,22,34.5,9.75
4,Robert Nkemdiche,DT,Mississippi,22,6034,294,130.5,1.4,91.7,Nkemdiche,6034,294,33.875,10.375,80.625,4.87,2.84,1.67,,,28,35,9.67
5,Brandin Bryant,DT,Florida Atlantic,23,6025,289,127,1.1,87.2,Bryant,6025,289,,,,4.88,2.83,1.64,4.35,7.27,38,28,9.25
6,Sheldon Rankins,DT,Louisville,22.4,6011,299,124.6,1,83.3,Rankins,6011,299,33.375,9.375,79.75,5.03,2.89,1.73,4.59,7.44,28,34.5,9.83
7,Michael Pierce,DT,Samford,23.8,6003,329,124.1,0.9,82.4,Pierce,6003,329,,,,5.01,2.84,1.67,,,28,27,9.58
8,Alex Balducci,DT,Oregon,22.5,6035,309,122.3,0.8,78.9,Balducci,6035,309,,,,5.01,2.9,1.7,4.63,7.55,25,33,9.42
9,Greg Milhouse,DT,Campbell,,6013,295,121.1,0.7,76.3,Milhouse,6013,295,,,,4.91,2.85,1.64,4.68,7.94,26,33.5,9.25
10,Hassan Ridgeway,DT,Texas,21.8,6033,303,120.4,0.7,74.6,Ridgeway,6033,303,33,9.375,78.125,5.02,2.88,1.71,4.69,7.37,24,32,9.42
11,Javon Hargrave,DT,South Carolina State,23.6,6013,309,120,0.6,73.7,Hargrave,6013,309,32,9.625,78,4.93,2.85,1.69,4.7,7.9,29,34.5,9.08
12,Kyle Peko,DT,Oregon State,23.1,6010,298,119.6,0.6,72.9,Peko,6010,298,,,,5.13,2.97,1.8,4.5,7.3,31,32.5,9.67
13,Jake Ceresna,DT,Cortland SUNY,,6051,291,118.4,0.5,69.9,Ceresna,6051,291,,,,4.98,2.81,1.75,4.54,7.3,35,31.5,9.58
14,David Dean,DT,Virginia,23.5,6012,295,116.2,0.4,64.3,Dean,6012,295,,,,5.12,3,1.7,4.69,7.46,33,31,9.17
15,Chris Jones,DT,Mississippi State,22.2,6056,310,115.5,0.3,62.3,Jones,6056,310,34.5,10.75,85,5.03,2.86,1.69,4.62,7.44,26,29.5,8.83
16,Joel Heath,DT,Michigan State,23.2,6052,293,115.4,0.3,62,Heath,6052,293,34.5,10.5,84,5.02,2.9,1.75,4.52,7.44,26,33,9.42
17,Vernon Butler,DT,Louisiana Tech,22.2,6035,323,114.7,0.3,60.1,Butler,6035,323,35.125,10.75,83.875,5.19,2.97,1.77,4.76,7.82,26,33.5,9.25
18,Trevon Coley,DT,Florida Atlantic,22.1,6010,304,114.6,0.2,59.8,Coley,6010,304,,,,4.98,2.84,1.73,4.57,7.02,22,29.5,8.75
19,Todd Peat,DT,Texas A&M-Commerce,,6020,323,114.1,0.2,58.6,Peat,6020,323,,,,5.04,,1.72,4.57,7.44,15,31.5,8.63
