#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Seth DeValve,TE,Princeton,23.6,6023,244,140.2,1.7,95.6,DeValve,6023,244,,,,4.68,2.75,1.54,4.18,6.96,22,40,10.42
2,Ben Braunecker,TE,Harvard,22.6,6033,250,132.9,1.2,87.8,Braunecker,6033,250,32.75,9.5,79.25,4.7,2.65,1.59,4.2,6.9,20,37.5,10.08
3,Beau Sandland,TE,Montana State,23.5,6044,253,124.2,0.5,69.8,Sandland,6044,253,34.25,10.125,82.75,4.74,2.76,1.67,4.33,7.1,23,35,10.33
3,Alex Ellis,TE,Tennessee,23.6,6044,253,124.1,0.5,69.3,Ellis,6044,253,,,,4.79,2.69,1.6,4.37,6.87,20,34.5,10.08
4,Gabe Hughes,TE,Florida Tech,,6032,240,123.5,0.5,68,Hughes,6032,240,,,,4.68,2.68,1.64,4.25,6.9,26,33.5,10
5,Kyle Carter,TE,Penn State,,6033,243,121,0.3,61,Carter,6033,243,,,,4.64,2.68,1.66,4.37,7.09,13,35.5,10.17
6,Ben Madon,TE,Eastern Kentucky,,6037,233,120.8,0.3,60.4,Madon,6037,233,,,,4.66,2.69,1.64,4.36,6.89,24,34.5,9.92
7,Austin Hooper,TE,Stanford,21.8,6036,254,120.2,0.2,58.8,Hooper,6036,254,33.75,10.625,79.375,4.7,2.75,1.62,4.32,7,19,33,9.75
8,Jason Vander Laan,TE,Ferris State,,6033,243,120.2,0.2,58.7,Vander Laan,6033,243,,,,4.78,2.73,1.63,4.16,6.76,27,30.5,9.92
9,Cole Wick,TE,Incarnate Word,22.8,6053,256,119.9,0.2,58,Wick,6053,256,,,,4.93,2.78,1.67,4.32,7.16,14,36.5,10.42
10,Ryan Malleck,TE,Virginia Tech,23.1,6044,247,119.7,0.2,57.1,Malleck,6044,247,32.5,9.375,77.625,4.81,2.7,1.62,4.33,7,18,34.5,10.08
11,Braedon Bowman,TE,South Alabama,22.6,6033,240,119.2,0.1,55.9,Bowman,6033,240,,,,4.67,2.71,1.6,4.37,7.1,26,35.5,9.5
12,David Morgan,TE,Texas-San Antonio,23.3,6041,262,118.1,0.1,52.7,Morgan,6041,262,33.625,10.5,80.5,4.89,2.82,1.68,4.19,6.93,29,32,9.58
13,Jamar Brown,TE,Indiana State,,6050,249,117.6,0,50.9,Brown,6050,249,,,,4.79,2.77,1.62,4.43,7.13,20,34.5,10.08
14,Jerell Adams,TE,South Carolina,23.7,6051,247,117.5,0,50.9,Adams,6051,247,34.375,9,82.25,4.64,2.72,1.64,4.31,7.05,18,32.5,9.75
15,Joe Sommers,TE,Wisconsin-Oshkosh,23.5,6026,241,117.5,0,50.7,Sommers,6026,241,,,,4.66,2.65,1.66,4.34,6.9,23,36,9.17
16,Joshua Perkins,TE,Washington,23.1,6032,223,117.1,0,49.6,Perkins,6032,223,,,,4.65,2.7,1.66,4.38,7.04,12,34,10.5
17,Thomas Duarte,TE,UCLA,21.4,6021,231,116.7,0,48.4,Duarte,6021,231,33,10,80.375,4.68,2.69,1.62,4.24,6.97,12,33.5,9.83
18,Anthony Norris,TE,Southern Utah,,6035,249,116.6,0,48,Norris,6035,249,,,,4.98,2.83,1.72,4.58,7.26,23,39,10.92
19,Steven Scheu,TE,Vanderbilt,,6044,253,115.3,-0.1,44.4,Scheu,6044,253,,,,4.75,2.76,1.65,4.35,7.14,23,33,9.67
20,David Reeves,TE,Duke,,6047,250,114.4,-0.2,41.7,Reeves,6047,250,,,,4.71,2.7,1.62,4.57,7.51,18,35.5,10.25
21,Cedrick Lang,TE,UTEP,,6074,265,111.9,-0.4,34.6,Lang,6074,265,,,,4.97,2.83,1.72,4.22,6.91,18,31.5,9.67
22,Hunter Henry,TE,Arkansas,21.7,6047,250,111.7,-0.4,33.9,Henry,6047,250,32.75,9.25,78,4.68,2.74,1.6,4.41,7.16,21,31.5,9.42
23,Temarrick Hemingway,TE,South Carolina State,23.1,6047,244,111.3,-0.4,32.9,Hemingway,6047,244,34,10,81,4.71,2.76,1.67,4.31,6.88,18,30.5,9.58
24,Kevin Francis,TE,North Carolina A&T,,6051,210,110.9,-0.5,31.9,Francis,6051,210,,,,4.79,2.7,1.61,4.5,7.4,18,37,10.5
25,Garrett Griffin,TE,Air Force,,6041,237,110.7,-0.5,31.5,Griffin,6041,237,,,,4.75,,1.64,4.56,7.13,15,36,9.75
26,Hakeem Valles,TE,Monmouth (NJ),23.8,6034,242,110.7,-0.5,31.4,Valles,6034,242,,,,4.69,2.62,1.64,4.46,7.28,15,33.5,9.83
27,J.P. Holtz,TE,Pittsburgh,23,6030,238,109.4,-0.6,28,Holtz,6030,238,,,,4.79,2.82,1.66,4.33,6.92,20,33,9.33
28,Rico Gathers,TE,Baylor,,6062,273,108.1,-0.7,25,Gathers,6062,273,,,,4.79,2.79,1.71,4.56,,,,9.58
29,Nick Vannett,TE,Ohio State,23.5,6060,257,106.3,-0.8,20.9,Vannett,6060,257,34.25,10,81.125,4.89,2.81,1.72,4.2,7.05,17,30.5,9.42
30,Ryan OMalley,TE,Pennsylvania,,6055,258,105.4,-0.9,18.9,OMalley,6055,258,,,,4.77,2.75,1.69,4.53,7.47,19,32,9.75
31,Gus Penning,TE,Baylor,,6050,249,104.9,-0.9,18.1,Penning,6050,249,,,,4.76,2.68,1.68,4.37,7.26,,31.5,9.33
32,Terenn Houk,TE,BYU,,6040,229,104.4,-1,17.1,Houk,6040,229,,,,4.84,2.81,1.7,4.37,7.24,15,32,10.17
33,Michael Miller,TE,Taylor,,6062,249,104.4,-1,17,Miller,6062,249,,,,4.86,2.74,1.76,4.4,7.07,11,35,9.42
34,Holden Huff,TE,Boise State,,6052,239,103.9,-1,16.1,Huff,6052,239,,,,4.83,2.82,1.73,4.34,7.15,13,32.5,9.75
35,Henry Krieger Coble,TE,Iowa,24.2,6032,249,100.9,-1.2,11.3,Krieger Coble,6032,249,,,,4.91,2.78,1.69,4.48,7.16,,33.5,9.17
36,Mark Weiser,TE,Buffalo,,6052,241,100.9,-1.2,11.2,Weiser,6052,241,,,,4.8,2.76,1.69,4.41,7.15,18,30,9.5
37,Adam Fuehne,TE,Southern Illinois,,6075,253,100.7,-1.2,10.9,Fuehne,6075,253,,,,5.06,2.9,1.63,4.14,7.15,,31.5,8.67
38,Dillon Barrett,TE,Mississippi,,6026,233,100.5,-1.2,10.7,Barrett,6026,233,,,,4.76,2.85,1.76,4.39,7.11,19,30.5,9.58
39,Kivon Cartwright,TE,Colorado State,,6037,243,100.5,-1.2,10.7,Cartwright,6037,243,,,,4.77,2.78,1.73,4.8,7.43,23,34.5,9.67
40,Clayton Echard,TE,Missouri,,6040,261,100.1,-1.3,10.1,Echard,6040,261,,,,4.87,2.81,1.71,4.64,7.24,20,30,9.67
41,Luke Albers,TE,North Dakota State,,6045,249,99.9,-1.3,9.9,Albers,6045,249,,,,4.85,2.78,1.69,4.59,7.41,20,33.5,9.5
42,Doug Warrick,TE,Elon,,6056,250,99,-1.4,8.8,Warrick,6056,250,,,,4.94,2.84,1.72,4.5,7.4,26,30.5,9.92
43,Braxton Deaver,TE,Duke,,6046,246,98.8,-1.4,8.6,Deaver,6046,246,,,,4.8,2.83,1.68,4.44,7.5,26,31.5,9.17
44,Ben McCord,TE,Central Michigan,,6027,237,98.1,-1.4,7.8,McCord,6027,237,,,,4.93,2.79,1.73,4.53,6.91,15,32.5,9.5
45,Chris Gallon,TE,Bowling Green,,6040,229,97.2,-1.5,6.8,Gallon,6040,229,,,,4.77,2.72,1.69,4.56,7.33,13,32.5,9.58
46,Paul Lang,TE,Michigan State,,6044,259,96.6,-1.5,6.3,Lang,6044,259,,,,5.09,2.91,1.82,4.53,7.25,19,34.5,9.25
47,Marcus Smith,TE,North Texas,,6036,242,95.9,-1.6,5.7,Smith,6036,242,,,,4.88,2.82,1.59,4.59,7.63,11,35,9.17
48,Bryce Williams,TE,East Carolina,23.5,6056,257,95.8,-1.6,5.6,Williams,6056,257,33.625,9.625,80.125,4.91,2.76,1.71,4.53,7.19,19,29.5,9.25
49,Lawrence White,TE,Texas State,,6053,253,95.1,-1.6,5,White,6053,253,,,,4.95,2.8,1.69,4.36,7.6,12,30.5,9.58
50,Joe Bowens,TE,Tennessee State,,6042,234,95.1,-1.6,5,Bowens,6042,234,,,,4.95,2.84,1.72,4.52,7.22,,30,9.92
51,Michael Morris,TE,Florida A&M,,6052,239,95,-1.6,5,Morris,6052,239,,,,4.89,2.75,1.65,4.5,7.6,20,30.5,9.67
52,Jake Phillips,TE,UNLV,,6055,249,94.7,-1.7,4.7,Phillips,6055,249,,,,4.94,,,4.58,7.3,22,31.5,9.42
53,Jake McGee,TE,Florida,25,6054,250,94.3,-1.7,4.4,McGee,6054,250,32.375,9.625,78.875,4.84,2.79,1.67,4.63,7.26,17,28.5,9.5
54,Dylan Curry,TE,Ball State,,6043,258,93.3,-1.8,3.8,Curry,6043,258,,,,4.89,2.76,1.75,4.53,7.28,15,31,9
55,Cameron Thompson,TE,Portland State,,6042,236,93.3,-1.8,3.8,Thompson,6042,236,,,,4.9,2.86,1.75,4.32,7.07,10,29.5,9.33
