#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
38,Daryl Worley,CB,West Virginia,21.5,6006,204,118.5,0.1,55,Worley,6006,204,33.375,10.25,80.25,4.61,2.65,1.58,4.15,6.98,14,35.5,10.25
39,Morgan Burns,CB,Kansas State,,5103,200,118.1,0.1,53.2,Burns,5103,200,,,,4.4,2.55,1.55,4.15,6.6,21,32.5,9.58
40,Jordan Batiste,CB,Southeast Louisiana,,5086,181,118,0.1,53,Batiste,5086,181,,,,4.55,2.64,1.57,4.32,7,15,39.5,10.42
41,Bryson Abraham,CB,Louisiana Tech,,5087,183,117.9,0.1,52.4,Abraham,5087,183,,,,4.54,2.58,1.6,4.19,7.04,18,41,10
42,Dylan Chatman,CB,Eastern Illinois,,5104,177,117.6,0,51.3,Chatman,5104,177,,,,4.61,2.56,1.58,4.12,7.08,6,39.5,10.58
43,LeShaun Sims,CB,Southern Utah,,6004,203,117.3,0,50.2,Sims,6004,203,31.625,8.125,74.5,4.53,2.68,1.64,4.19,6.82,11,37,10.25
44,Juston Burris,CB,North Carolina State,23.1,6002,212,117.1,0,49.7,Burris,6002,212,31.5,8.875,76.75,4.53,2.63,1.58,4.4,7.1,19,36.5,10.17
45,Charles Washington,CB,Fresno State,,5102,190,117.1,0,49.7,Washington,5102,190,,,,4.48,2.56,1.58,4.48,7.23,18,41,10.42
46,Duke Thomas,CB,Texas,,5101,184,117,0,49.3,Thomas,5101,184,30,,,4.41,2.57,1.56,4.21,6.73,17,34.5,10.08
47,Eric Rawls,CB,Kentucky State,,6016,195,117,0,49,Rawls,6016,195,,,,4.56,2.63,1.57,4.28,6.89,11,35.5,10.42
48,Makinton Dorleant,CB,Northern Iowa,23.9,5106,177,116.8,0,48.5,Dorleant,5106,177,,,,4.4,2.53,1.53,4.45,7.03,16,39,10.25
49,Corey Tindal,CB,Marshall,,5092,187,116.1,-0.1,45.8,Tindal,5092,187,,,,4.47,2.61,1.49,4.2,6.76,9,34.5,9.67
50,Warren Gatewood,CB,Alcorn State,,5115,185,116.1,-0.1,45.8,Gatewood,5115,185,,,,4.51,2.67,1.61,,,16,36.5,10.58
51,Ken Crawley,CB,Colorado,23.6,6003,187,116.1,-0.1,45.7,Crawley,6003,187,30.5,9,72.625,4.43,2.57,1.53,4.3,6.81,7,36.5,9.92
52,Sean Draper,CB,Iowa,,5106,191,115.7,-0.2,44,Draper,5106,191,,,,4.59,2.65,1.56,4.22,6.65,16,34.5,9.92
53,Robert Porter,CB,Jackson State,,5096,186,115.6,-0.2,43.7,Porter,5096,186,,,,4.48,2.58,1.59,4.1,7,22,36,9.92
54,Mackensie Alexander,CB,Clemson,22.8,5103,190,115.3,-0.2,42.4,Alexander,5103,190,31.375,9.125,75.5,4.49,2.63,1.56,4.21,7.18,11,37.5,10.08
55,Asante Gibson,CB,Harvard,,5081,203,115.2,-0.2,42,Gibson,5081,203,,,,4.54,2.65,1.6,4.42,7.08,27,38.5,9.83
56,Trey Caldwell,CB,Louisiana-Monroe,22.7,5087,188,114.9,-0.2,41.2,Caldwell,5087,188,,,,4.51,2.52,1.5,4.19,6.6,12,33.5,9.5
57,LaMarcus Farmer,CB,Troy,,5096,177,114.9,-0.2,41.1,Farmer,5096,177,,,,4.55,2.63,1.53,4.2,6.77,12,34.5,10.17
58,Cranston Jones,CB,New Mexico,,5081,166,114.9,-0.2,41,Jones,5081,166,,,,4.42,2.49,1.43,4.34,6.72,,35,9.67
59,Naji Patrick,CB,Oregon State,,5077,191,114.8,-0.2,40.7,Patrick,5077,191,,,,4.54,2.59,1.55,4.26,7.11,14,37,10
60,Anthony Brown,CB,Purdue,22.7,5112,192,114.6,-0.3,40.1,Brown,5112,192,31.75,8.25,75.5,4.33,2.55,1.55,4.19,7.03,19,35,9.58
61,Jordan Champion,CB,North Dakota State,,5093,187,114.6,-0.3,40,Champion,5093,187,,,,4.63,2.7,1.55,4.4,6.97,12,37,10.42
62,Darrell Williams,CB,Tulsa,,5097,194,114.3,-0.3,39,Williams,5097,194,,,,4.42,2.6,1.57,4.3,7.15,17,36,10.08
63,D.J. White,CB,Georgia Tech,23,5107,193,114.2,-0.3,38.4,White,5107,193,31.5,9.25,76.875,4.49,2.64,1.61,4.33,7.18,17,34,11
64,Michael Hunter,CB,Oklahoma State,,5117,186,114.1,-0.3,38.2,Hunter,5117,186,,,,4.4,2.58,1.58,4.29,7.27,17,38.5,10.08
65,Brandon Williams,CB,Texas A&M,24,5113,197,113.3,-0.4,35.4,Williams,5113,197,32.5,8.625,78.25,4.37,2.58,1.54,4.19,6.85,18,30.5,9.83
66,Kevin Peterson,CB,Oklahoma State,22.4,5103,181,113.1,-0.4,34.5,Peterson,5103,181,30.5,9.875,75.75,4.55,2.63,1.53,4.31,6.94,14,35.5,10.08
67,Darius Hillary,CB,Wisconsin,23.4,5104,183,113,-0.4,34.2,Hillary,5104,183,,,,4.55,2.59,1.58,4.34,6.99,8,35,10.83
68,Julian Whigham,CB,Syracuse,,6003,199,112.7,-0.4,33.1,Whigham,6003,199,,,,4.58,2.64,1.62,4.28,7.31,9,37,10.67
69,Cyrus Jones,CB,Alabama,22.8,5097,197,112.7,-0.4,33,Jones,5097,197,31.375,9.125,73.75,4.49,2.62,1.55,4.21,6.71,10,33,9.67
70,Briean Boddy-Calhoun,CB,Minnesota,23.6,5094,193,112.5,-0.5,32.3,Boddy-Calhoun,5094,193,31,9.125,76.625,4.47,2.64,1.59,4.22,7.16,10,35,10.33
71,Mike Kelly,CB,Towson,,5085,169,112.4,-0.5,32.2,Kelly,5085,169,,,,4.62,2.62,1.53,4.22,7.25,18,39,10
72,Sam Brown,CB,Missouri Western,,6011,180,112,-0.5,30.8,Brown,6011,180,,,,4.54,2.66,1.5,4.51,7.18,4,36.5,10.67
73,Lafayette Pitts,CB,Pittsburgh,23.9,5110,190,111.9,-0.5,30.3,Pitts,5110,190,,,,4.46,2.65,1.59,4.27,6.81,12,33.5,10.17
74,Juwan Haynes,CB,Toledo,,6000,192,111.7,-0.5,29.6,Haynes,6000,192,,,,4.5,2.62,1.57,4.18,6.91,15,33.5,9.83
75,Dominique Rouse,CB,Midwestern State,,5097,173,111.4,-0.6,28.6,Rouse,5097,173,,,,4.58,2.61,1.51,4.4,6.97,14,35.5,10.25
76,Rocky Hayes,CB,Arkansas State,,5104,186,111.4,-0.6,28.5,Hayes,5104,186,,,,4.72,2.69,1.63,4.29,7.26,12,38,10.92
77,Donte Deayon,CB,Boise State,,5087,158,111.3,-0.6,28.4,Deayon,5087,158,,,,4.57,2.64,1.61,4.2,6.78,12,37.5,10.58
78,Artie Burns,CB,Miami,21.3,5117,193,111.3,-0.6,28.4,Burns,5117,193,33.25,9.5,78,4.46,2.63,1.56,4.33,6.96,7,33,10.33
79,Mercy Maston,CB,Boise State,,5103,182,111.2,-0.6,27.9,Maston,5103,182,,,,4.52,2.72,1.56,4.26,6.96,12,36.5,9.83
80,Davontay Kwaaning,CB,Illinois,,5100,194,111,-0.6,27.5,Kwaaning,5100,194,,,,4.62,2.67,1.62,4.37,7.09,17,38,10.17
81,Sherrod Baltimore,CB,Maine,,5086,176,111,-0.6,27.4,Baltimore,5086,176,,,,4.65,2.64,1.53,4.22,6.63,12,36,9.5
82,Jordan Sefon,CB,St. Cloud State,,5111,192,111,-0.6,27.2,Sefon,5111,192,,,,4.54,2.66,1.65,4.37,7.17,11,37.5,10.75
83,VAngelo Bentley,CB,Illinois,,5082,193,110.9,-0.6,26.9,Bentley,5082,193,,,,4.57,2.63,1.58,4.51,7.22,18,38.5,10.17
84,William Jackson III,CB,Houston,23.8,6003,189,110.8,-0.6,26.7,Jackson III,6003,189,31.75,9.25,75.25,4.37,2.56,1.52,4.32,6.86,10,,9.67
85,Kenya Dennis,CB,Missouri,,5105,200,110.6,-0.6,26,Dennis,5105,200,,,,4.51,2.58,1.62,4.35,7.34,17,36,10.42
86,Tyran Finley,CB,Wyoming,,5080,179,110.5,-0.6,25.9,Finley,5080,179,,,,4.53,2.63,1.58,4.03,6.75,13,33.5,9.75
87,Terrell Chestnut,CB,West Virginia,,5100,196,110.2,-0.7,24.8,Chestnut,5100,196,,,,4.61,2.66,1.55,4.32,7.15,12,34,10.17
88,Richard Leonard,CB,Florida International,,5076,175,110.2,-0.7,24.7,Leonard,5076,175,,,,4.39,2.54,1.57,4.33,6.92,18,35,10
