#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
38,Caleb Benenoch,OT,UCLA,22.1,6054,311,104.9,0,52,Benenoch,6054,311,34.125,10,82.5,4.98,3.06,1.68,5.11,8.15,,28,8.67
39,Aaron Neary,OG,Eastern Washington,23.8,6031,301,103,0,51.2,Neary,6031,301,,,,5.15,2.98,1.77,4.47,7.53,26,28.5,8.67
40,Austin Blythe,OC,Iowa,24.2,6021,298,103.5,0,50,Blythe,6021,298,30.25,9.375,76,5.34,3.03,1.78,4.46,7.52,29,31.5,8.25
41,Brynjar Gudmundsson,OC,South Florida,,6034,301,103.5,0,49.8,Gudmundsson,6034,301,,,,5.35,3.03,1.79,4.59,7.89,26,30.5,9.08
42,Le'Raven Clark,OT,Texas Tech,23.4,6052,316,104.2,0,49.7,Clark,6052,316,36.125,11.875,85.75,5.16,2.99,1.8,,,20,30,9.08
43,Donald Jackson III,OG,Sam Houston State,,6011,281,102.2,0,48.3,Jackson III,6011,281,,,,5.21,2.97,1.8,,,24,35,9.08
44,Wade Hansen,OT,Virginia Tech,,6044,306,103.6,0,48.2,Hansen,6044,306,,,,5.3,2.94,1.78,5.08,7.7,25,29.625,9.25
45,Michael Frank,OC,Mount Union,,5116,290,103,0,48.2,Frank,5116,290,,,,5.08,2.91,1.73,4.78,7.68,27,,9.08
46,Givens Price,OG,Nebraska,21.8,6035,298,102.1,0,48.1,Price,6035,298,,,,5.08,2.98,1.91,4.64,7.48,24,32,9.17
47,Jack Conklin,OT,Michigan State,22,6056,308,103.5,-0.1,47.7,Conklin,6056,308,35,10.375,83.25,5,2.92,1.76,4.57,7.63,25,30,8.58
48,John Weidenaar,OT,Montana State,,6073,302,103.5,-0.1,47.6,Weidenaar,6073,302,,,,5.2,2.97,1.84,4.7,7.39,22,29,9.17
49,Matt Snebold,OT,Wheaton,,6044,296,103.4,-0.1,47.3,Snebold,6044,296,,,,5.15,2.94,1.73,4.77,7.85,14,30.5,9.25
50,LaQuan McGowan,OG,Baylor,,6061,405,101.3,-0.1,45.4,McGowan,6061,405,,,,5.48,3.06,1.85,5.38,8.28,30,24,8.17
51,Zach Sterup,OT,Nebraska,24.3,6090,318,102.2,-0.2,43.8,Sterup,6090,318,,,,5.04,2.93,1.81,4.79,7.51,27,28,8.67
52,Isaiah Folasa-Lutui,OG,New Mexico State,,6020,310,100,-0.2,41.3,Folasa-Lutui,6020,310,,,,5.32,3.02,1.74,4.69,7.58,22,28,8.5
53,Darius Redman,OT,Virginia Tech,,6036,295,101,-0.2,40.2,Redman,6036,295,,,,5.01,2.95,1.75,4.64,7.51,23,28,8.92
54,Nick Richter,OT,Richmond,,6053,300,100.2,-0.3,37.8,Richter,6053,300,,,,5.38,2.98,1.77,4.79,7.93,25,29,9.08
55,Marcus Henry,OC,Boise State,,6025,299,99.6,-0.3,37.2,Henry,6025,299,,,,5.13,3.01,1.74,4.63,7.71,28,30,8.42
56,Wes Schweitzer,OT,San Jose State,23,6040,300,99.8,-0.3,36.8,Schweitzer,6040,300,,,,5.15,2.97,1.75,4.73,7.8,28,27.5,9
57,Jake Schunke,OG,Towson,,6036,309,98.5,-0.3,36.7,Schunke,6036,309,,,,5.16,2.91,1.75,4.65,7.5,34,27.5,8
58,Ronnie Stanley,OT,Notre Dame,22.5,6056,312,99.7,-0.3,36.5,Stanley,6056,312,35.625,10.625,84.25,5.2,3.03,1.79,4.69,7.96,24,28.5,
59,Sioasi Aiono,OG,Utah,,6020,318,98.1,-0.4,35.4,Aiono,6020,318,,,,5.55,3.22,1.79,4.96,7.8,26,30,8.25
60,Alex Lewis,OT,Nebraska,24.4,6060,312,99.3,-0.4,35.3,Lewis,6060,312,34,10,81.25,5.22,3.03,1.82,4.72,7.94,27,29.5,8.75
61,Mykhael Quave,OG,Louisiana-Lafayette,,6042,292,97.8,-0.4,34.4,Quave,6042,292,,,,5.16,3.01,1.79,4.9,7.61,,32.5,8.42
62,Marcus Jackson,OG,Tennessee,,6020,303,97.7,-0.4,34.1,Jackson,6020,303,,,,5.24,2.96,1.82,4.64,7.62,26,29,8.67
63,Tyler Adrian,OT,Jacksonville,,6062,288,98.8,-0.4,34.1,Adrian,6062,288,,,,5.35,3.02,1.79,5.06,7.9,24,32,9.08
64,Tristan Hardin,OG,Faulkner College,,6022,326,97.6,-0.4,33.7,Hardin,6022,326,,,,5.09,3.03,1.81,5.05,7.97,19,26.5,9
65,Octravian Anderson,OG,Louisiana-Lafayette,,6024,297,97.3,-0.4,33,Anderson,6024,297,,,,5.23,3.09,1.85,5.07,7.94,21,32,9.08
66,Leonard Wester,OT,Missouri Western,,6054,307,98.2,-0.5,32.3,Wester,6054,307,,,,5.17,3.04,1.81,4.73,7.92,20,29,9
67,Keyon Haughton,OC,Kansas,,6015,302,98,-0.5,32.2,Haughton,6015,302,,,,5.46,3.14,1.9,4.8,7.71,21,31,9.25
68,Matt Pierson,OC,Oregon,,6052,295,97.7,-0.5,31.4,Pierson,6052,295,,,,5.4,2.93,1.82,4.6,7.62,24,31,8.58
69,Jake Bernstein,OG,Vanderbilt,,6031,308,96.5,-0.5,30.7,Bernstein,6031,308,,,,5.21,3.05,1.85,4.67,7.57,29,26,8.92
70,Matt Skura,OC,Duke,23.5,6033,305,97.4,-0.5,30.5,Skura,6033,305,35.25,10,78.125,5.28,2.96,1.78,4.59,7.83,30,26.5,8.75
71,Joshua Garnett,OG,Stanford,22.5,6043,312,96.3,-0.5,29.9,Garnett,6043,312,33.875,10.125,81.875,5.32,3.05,1.84,4.64,7.62,30,29,8.25
72,Bo Bonnheim,OC,Fresno State,,6016,294,97.2,-0.5,29.8,Bonnheim,6016,294,,,,5.32,2.97,1.8,4.71,,22,30,8.92
73,Aaron Morris,OG,Mississippi,,6053,307,96.1,-0.5,29.6,Morris,6053,307,,,,5.66,3.17,1.85,4.84,7.6,21,29.5,8.67
74,Graham Glasgow,OG,Michigan,24,6057,307,95.9,-0.6,28.8,Glasgow,6057,307,33.625,10.75,79.625,5.13,2.98,1.77,4.63,7.63,23,25,8.83
75,Alex Redmond,OG,UCLA,21.6,6046,294,95.9,-0.6,28.8,Redmond,6046,294,33.25,10.5,78.875,5.3,3.07,1.85,4.9,7.75,30,28,9.25
76,Jonathan Burgess,OG,Liberty,,6023,299,95.8,-0.6,28.7,Burgess,6023,299,,,,5.39,3.07,1.89,4.88,7.81,25,28,9.5
77,Cole Toner,OT,Harvard,22.5,6052,306,96.7,-0.6,28.3,Toner,6052,306,33.125,9.75,81,5.24,2.93,1.75,4.59,7.88,24,26.5,8.67
78,Quinton Schooley,OC,North Carolina State,,6033,294,96.6,-0.6,28.1,Schooley,6033,294,,,,5.22,3,1.75,4.47,7.82,26,26,8.83
79,Donavon Clark,OG,Michigan State,23.8,6037,312,95.4,-0.6,27.6,Clark,6037,312,,,,5.19,2.98,1.82,4.72,7.6,26,27,8.5
80,Byron Williams,OG,Stephen F. Austin,,6025,300,95.2,-0.6,27.1,Williams,6025,300,,,,5.34,3.05,1.8,4.93,7.95,17,29,9
81,Siosifa Tufunga,OC,Washington,,6025,317,96.2,-0.6,27,Tufunga,6025,317,,,,5.55,3.15,1.88,4.83,7.88,32,27,8.92
82,Ryker Mathews,OT,BYU,,6054,316,95.5,-0.7,25.4,Mathews,6054,316,,,,5.06,2.93,1.84,4.73,7.85,23,28.5,8.58
83,John Kling,OT,Buffalo,,6072,313,95.5,-0.7,25.4,Kling,6072,313,,,,5.41,3.08,1.87,4.85,7.79,21,30,8.67
84,Jordan Swindle,OT,Kentucky,,6065,313,95.3,-0.7,24.9,Swindle,6065,313,,,,5.4,3.13,1.92,4.97,8.29,22,29,9.42
85,Devonte Danzey,OG,Auburn,,6024,299,94.4,-0.7,24.9,Danzey,6024,299,,,,5.09,2.97,1.8,4.73,7.82,,27.5,8.83
86,Ruben Carter,OC,Toledo,,6033,305,95.4,-0.7,24.7,Carter,6033,305,,,,5.19,2.98,1.82,4.87,7.99,22,27,9.17
87,Taylor Decker,OT,Ohio State,22,6070,310,95.2,-0.7,24.6,Decker,6070,310,33.75,10,80.125,5.23,3.02,1.81,4.76,7.7,22,29,8.42
88,Ty Darlington,OC,Oklahoma,,6026,294,95.2,-0.7,24.3,Darlington,6026,294,,,,5.09,2.96,1.78,4.71,8.07,24,28.5,8.92
89,Nila Kasitati,OG,Oklahoma,23.4,6032,317,94.2,-0.7,24.2,Kasitati,6032,317,32,10.5,78.5,5.32,3.03,1.81,4.83,8.3,14,27.5,8.92
90,Nick Kelly,OC,Arizona State,,6017,301,94.9,-0.7,23.6,Kelly,6017,301,,,,5.26,3.1,1.83,4.71,7.57,26,29,8.42
91,Jeremy Kelly,OG,North Dakota State,,6060,299,93.9,-0.7,23.5,Kelly,6060,299,,,,5.3,3.1,1.81,4.94,7.81,21,29.5,8.67
92,John Theus,OT,Georgia,22.6,6064,313,94.7,-0.7,23.4,Theus,6064,313,34.5,10.125,82.125,5.22,3,1.8,4.78,7.9,19,28,8.58
93,Stephane Nembot,OT,Colorado,24.7,6066,322,94.5,-0.7,23,Nembot,6066,322,34.625,10.75,82.875,5.23,3.11,1.86,4.99,7.81,32,26.5,8.58
94,Chad West,OT,Cincinnati,,6053,291,94.1,-0.8,22,West,6053,291,,,,5.12,2.95,1.76,,,30,27,8.67
95,Tanner Thexton,OT,Pennsylvania,,6051,301,94,-0.8,21.9,Thexton,6051,301,,,,5.55,3.09,1.86,4.78,7.97,22,27,9.33
96,Brian Berzanski,OG,Central Missouri,,6044,322,93,-0.8,21.4,Berzanski,6044,322,,,,5.33,3.06,1.87,4.88,8,30,27,8.5
97,Adam Redmond,OT,Harvard,,6053,301,93.8,-0.8,21.4,Redmond,6053,301,,,,5.19,2.97,1.81,4.64,7.51,24,28,8.25
98,Dominique Robertson,OT,West Georgia,,6045,324,93.6,-0.8,21,Robertson,6045,324,36,10.375,86.25,5.36,3.1,1.85,4.83,8.42,30,28.5,8.33
99,Jamison Lalk,OC,Iowa State,,6054,299,93.6,-0.8,20.3,Lalk,6054,299,,,,5.28,2.94,1.87,4.65,7.79,22,30,8.75
100,Joe Gore,OT,Clemson,,6054,304,93.2,-0.8,20.1,Gore,6054,304,,,,5.05,2.95,1.92,4.65,7.71,28,27.5,9.08
101,Michael Banogu,OG,North Texas,,6043,296,92.3,-0.9,19.7,Banogu,6043,296,,,,5.45,3.13,1.83,4.89,7.47,20,28.5,8.42
102,Norman Price,OT,Southern Miss,,6044,309,93,-0.9,19.6,Price,6044,309,,,,5.11,2.96,1.86,4.72,7.76,31,28.5,8.33
103,Spencer Drango,OG,Baylor,23.9,6055,315,92.2,-0.9,19.4,Drango,6055,315,33.75,9.5,79.75,5.27,3.06,1.85,4.66,7.88,30,27,8.33
