#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Darron Lee,OLB,Ohio State,21.9,6006,232,139.2,1.4,91.3,Lee,6006,232,33.25,9.75,79.25,4.47,2.6,1.54,4.2,7.12,17,35.5,11.08
2,Travis Feeney,OLB,Washington,23.8,6035,230,136.7,1.2,88,Feeney,6035,230,33.375,9.5,81.625,4.5,2.64,1.58,4.42,7.2,,40,10.83
3,Jatavis Brown,OLB,Akron,22.5,5107,227,134.7,1,84.9,Brown,5107,227,,,,4.44,2.6,1.53,4.31,7.19,33,35.5,10.42
4,Joe Walker,ILB,Oregon,23.7,6023,236,131.1,0.9,81.3,Walker,6023,236,,,,4.6,2.65,1.63,4.39,6.86,23,37.5,10.33
5,Nicholas Grigsby,OLB,Pittsburgh,24.2,6001,220,132.4,0.9,80.6,Grigsby,6001,220,,,,4.51,2.57,1.56,4.27,6.9,21,36.5,10.33
6,Aaron Wallace,OLB,UCLA,,6023,242,132.3,0.9,80.4,Wallace,6023,242,,,,4.59,2.65,1.58,4.27,7.45,25,36,10.83
7,Akil Blount,ILB,Florida A&M,,6022,245,130,0.8,78.6,Blount,6022,245,,,,4.61,2.5,1.63,4.24,7.15,30,40,9.42
8,Chris Edwards,OLB,Idaho,,6011,218,130.6,0.7,76.9,Edwards,6011,218,,,,4.54,2.59,1.53,4.32,6.86,,37.5,10
9,Jason Whittingham,OLB,Utah,,6022,238,130,0.7,75.4,Whittingham,6022,238,,,,4.68,2.77,1.67,4.1,6.9,28,35.5,10.17
10,Kyrie Wilson,OLB,Fresno State,,6015,228,129.4,0.6,74.2,Wilson,6015,228,,,,4.6,2.66,1.64,4.43,6.99,23,40.5,10.17
11,Deion Jones,OLB,LSU,21.8,6007,222,129.3,0.6,73.8,Jones,6007,222,32.375,9.25,77.25,4.39,2.52,1.52,4.26,7.13,16,35.5,10
12,Micah Awe,OLB,Texas Tech,,5111,216,129,0.6,73.3,Awe,5111,216,,,,4.67,2.72,1.59,4.27,7.03,16,39,10.58
13,Tyrone Holmes,OLB,Montana,23,6022,253,128.5,0.6,72,Holmes,6022,253,,,,4.59,2.64,1.65,4.3,7,28,37.5,9.42
14,Jordan Jenkins,OLB,Georgia,22.2,6025,259,128.1,0.6,71,Jenkins,6025,259,34.25,11.25,83.375,4.8,2.71,1.58,4.32,7.39,19,38,10.25
15,Manoa Pikula,ILB,BYU,,6005,234,127.1,0.6,70.9,Pikula,6005,234,,,,4.57,2.67,1.59,4.23,7.06,24,36.5,9.67
16,Brandon Williams,OLB,Southern Illinois,,6050,256,127.8,0.5,70.2,Williams,6050,256,,,,4.72,2.67,1.61,4.46,7.27,24,37,10.42
