#,Name,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Moritz Boehringer,WR,Schwabisch Hall,,6044,227,146.1,2.7,99.6,Boehringer,6044,227,32.5,,80.25,4.49,2.59,1.48,4.09,6.64,17,39,10.92
2,Tyreek Hill,WR,West Alabama,22.5,5081,185,139,2,97.9,Hill,5081,185,,,,4.29,2.51,1.5,4.06,6.53,13,40.5,10.75
3,Andy Jones,WR,Jacksonville,,6012,217,136.4,1.8,96.5,Jones,6012,217,,,,4.55,2.56,1.51,4.35,6.97,11,41.5,11.08
4,Jairockeis Jones,WR,Florida A&M,,5107,188,135.1,1.7,95.4,Jones,5107,188,,,,4.51,2.46,1.47,4.09,7.03,12,38.5,11.33
5,Justin Berger,WR,Wyoming,,6013,204,134.3,1.6,94.8,Berger,6013,204,,,,4.47,2.61,1.49,4.14,6.87,20,37.5,10.67
6,Josh Doctson,WR,TCU,23.7,6020,202,133.9,1.6,94.4,Doctson,6020,202,31.875,9.875,76.625,4.5,2.62,1.58,4.08,6.84,14,41,10.92
7,Corey Coleman,WR,Baylor,22.2,5105,194,133.9,1.6,94.4,Coleman,5105,194,30.25,9,72.875,4.4,2.47,1.51,,,17,40.5,10.75
8,Devon Cajuste,WR,Stanford,23.6,6036,234,133.4,1.5,93.9,Cajuste,6036,234,33,10.75,80,4.57,2.63,1.53,4.2,6.49,14,36,10.25
9,Ricardo Louis,WR,Auburn,22.4,6016,215,129,1.2,87.8,Louis,6016,215,32.375,9.5,77.5,4.43,2.61,1.57,4.32,7.07,18,38,11
10,Marvin Hall,WR,Washington,,5094,192,128.7,1.1,87.1,Hall,5094,192,,,,4.4,2.55,1.52,4.24,6.86,15,40,10.42
11,Tevaun Smith,WR,Iowa,,6003,205,128.6,1.1,87,Smith,6003,205,,,,4.41,2.55,1.51,4.27,6.68,13,38,10.17
12,Trevor Davis,WR,California,23.2,6011,188,127.6,1,85.1,Davis,6011,188,31,10,74.5,4.42,2.57,1.51,4.22,6.6,11,38.5,10.33
13,Marcus Johnson,WR,Texas,22.1,6007,204,127.5,1,84.9,Johnson,6007,204,,,,4.39,2.48,1.53,4.39,7.26,22,37,11.25
14,Davonte Allen,WR,Marshall,,6013,208,127.3,1,84.3,Allen,6013,208,,,,4.57,2.62,1.53,4.44,6.81,15,39,10.67
