#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
35,Marquez Valdes-Scantling,WO38,WR,South Florida,23.9,6040,206,117.1,0.1,54.8,Valdes-Scantling,6040,206,32.25,10,79.375,4.37,2.58,1.55,,,15,30.5,10.33
36,Charlie Callinan,,WR,Boston College,,6035,237,116.6,0.1,53.1,Callinan,6035,237,32,9.875,78.5,4.77,2.77,1.6,4.19,7.01,17,34.5,9.92
37,Steve Ishmael,,WR,Syracuse,,6020,212,116.3,0.1,52,Ishmael,6020,212,32.75,8.5,78,4.59,2.64,1.5,4.38,6.84,16,32.5,10
38,Byron Pringle,WO29,WR,Kansas State,24.8,6011,203,115.4,0,49.2,Pringle,6011,203,32,9.25,77.375,4.46,2.61,1.56,4.22,6.87,15,33.5,10
39,Cedrick Wilson,WO43,WR,Boise State,22.8,6022,197,115.3,0,48.6,Wilson,6022,197,31.5,9.75,77.375,4.55,2.65,1.58,4.23,6.89,9,37,10.08
40,Jaleel Scott,WO33,WR,New Mexico State,23.5,6046,218,114.8,-0.1,47.1,Scott,6046,218,33.5,10,81.25,4.56,2.62,1.56,4.4,7.2,16,34.5,10.33
41,Steven Mitchell,WO24,WR,Southern Cal,24.3,5102,189,114.5,-0.1,46,Mitchell,5102,189,30.375,9.375,73.5,4.44,2.61,1.5,4.4,6.75,13,33.5,10.08
42,Korey Robertson,WO32,WR,Southern Miss,23.2,6005,212,114.1,-0.1,44.4,Robertson,6005,212,32.875,9.125,76.625,4.56,2.65,1.58,,,13,34,10.25
43,Quadree Henderson,WO15,WR,Pittsburgh,22,5080,192,113.9,-0.2,43.7,Henderson,5080,192,29.5,9.875,71.625,4.41,2.55,1.5,4.28,6.89,12,32.5,10
44,C.J. Duncan,,WR,Vanderbilt,,5103,195,113.6,-0.2,42.9,Duncan,5103,195,30.625,9.5,75,4.69,2.71,1.6,4.32,6.85,17,36,10.42
45,Chris Lacy,WO18,WR,Oklahoma State,22.6,6030,205,113.6,-0.2,42.9,Lacy,6030,205,31.25,9.75,76.5,4.44,2.6,1.5,4.6,7.29,11,35.5,10.5
