#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
35,Jessie Bates,DB45,FS,Wake Forest,21.9,6011,200,115.5,-0.2,43.5,Bates,6011,200,31.625,9.75,75.375,4.5,2.63,1.58,4.25,6.78,,35.5,9.75
36,Tre Flowers,DB52,SS,Oklahoma State,23.2,6032,202,116.5,-0.2,42.1,Flowers,6032,202,33.875,9,79.375,4.45,2.58,1.53,4.34,7.17,18,34.5,10.17
37,Chris Cooper,,FS,Stony Brook,,5103,202,115,-0.2,41.4,Cooper,5103,202,29.5,8.375,71.25,4.47,2.58,1.6,,,17,35,9.92
38,Anthony Sherrils,,SS,Missouri,,5114,204,114.8,-0.4,35.7,Sherrils,5114,204,32.125,8.375,74.75,4.42,2.56,1.57,4.39,7.21,25,35,10.08
39,A.J. Moore,,FS,Mississippi,,5112,200,113,-0.4,33.7,Moore,5112,200,32.125,8.75,76,4.4,2.64,1.54,4.38,7.27,17,34,10.17
40,Mike Basile,,FS,Monmouth (NJ),,5116,193,112.9,-0.4,33.6,Basile,5116,193,30,9.25,72.5,4.66,2.69,1.59,4.16,6.69,13,34,10
41,J.T. Gray,,SS,Mississippi State,,5112,195,114,-0.4,33.2,Gray,5112,195,32.5,8.75,74.875,4.5,2.56,1.59,4.19,7.03,19,33.5,10.25
42,Corey Winfield,,FS,West Virginia,,5116,198,112.3,-0.5,31.4,Winfield,5116,198,31.5,9.375,77,4.72,2.72,1.59,4.26,7.1,12,35,10.5
43,Jonathan Hagler,,SS,Jacksonville State,,5107,210,113.4,-0.5,30.9,Hagler,5107,210,30.875,9.5,75.875,4.7,2.69,1.62,4.39,7.17,21,36.5,10.42
44,Brandon Arnold,,SS,Oregon State,,5110,201,113.3,-0.5,30.8,Arnold,5110,201,31.5,9,75.75,4.62,2.7,1.62,4.26,7,15,36,10.25
45,Deon Newsome,,FS,Virginia Tech,,5106,193,112,-0.5,30.2,Newsome,5106,193,29.875,9.25,74.5,4.69,2.66,1.52,4.39,6.94,13,36.5,9.75
46,Corey Griffin,,SS,Georgia Tech,,6011,204,112.7,-0.6,28.7,Griffin,6011,204,32.25,8.625,77.875,4.56,2.6,1.6,4.26,7.09,13,35,10.17
47,Trey Walker,DB66,SS,Louisiana-Lafayette,23.6,6007,206,112.5,-0.6,28.2,Walker,6007,206,33.5,8.75,81.5,4.51,2.64,1.56,4.28,7,14,33,9.92
48,Quin Blanding,DB46,FS,Virginia,22.3,6020,207,111.4,-0.6,28.2,Blanding,6020,207,31.75,8.375,76.125,4.63,2.65,1.55,,,,31.5,10.17
49,Jaden Wright,,SS,New Mexico State,,5111,200,111.9,-0.6,26.2,Wright,5111,200,31.625,8.625,76.125,4.73,2.71,1.64,4.19,7.04,16,37,10.17
50,Ryan Moeller,,SS,Colorado,,6001,208,111.5,-0.7,25.1,Moeller,6001,208,30.875,9.375,73.375,4.63,2.66,1.61,4.32,7.09,19,34,10.25
51,Ronnie Harrison,DB54,SS,Alabama,21.4,6020,207,111.4,-0.7,24.7,Harrison,6020,207,33.375,9.5,80.375,4.63,2.64,1.58,,,,34,10
52,A.J. Howard,,SS,Appalachian State,,5101,203,111.2,-0.7,24,Howard,5101,203,30.125,9.125,71.625,4.51,2.58,1.57,4.18,7.06,24,32.5,9.58
53,Cole Reyes,,SS,North Dakota,,6006,214,110.7,-0.7,22.8,Reyes,6006,214,30.125,9.625,73.375,4.55,2.66,1.66,4.12,7.08,,33.5,10
54,Jordan Whitehead,DB70,FS,Pittsburgh,21.5,5103,198,109.5,-0.8,22.3,Whitehead,5103,198,29.75,8.5,73.75,4.59,2.66,1.61,4.31,7.16,21,34,10.25
55,Thomas Wilson,,SS,Missouri,,5096,193,110.5,-0.8,22.1,Wilson,5096,193,31.5,9,73.625,4.64,2.69,1.64,4.28,7.07,12,39.5,10
56,Terrell Williams,,FS,Houston,,6035,213,109.4,-0.8,21.7,Williams,6035,213,33.5,9.25,80.5,4.56,2.63,1.69,4.31,7.1,12,36,10.33
57,Marvin Gross Jr.,,SS,West Virginia,,6022,193,110.2,-0.8,21.4,Gross Jr.,6022,193,33,9.5,78.5,4.63,2.64,1.58,4.24,6.85,5,33,10.33
58,DeShon Elliott,DB50,SS,Texas,21.4,6007,210,110.2,-0.8,21.2,Elliott,6007,210,32.25,10.5,77.75,4.58,2.69,1.59,4.46,7.22,15,36,10.08
59,Afolabi Laguda,,FS,Colorado,,6004,203,108.4,-0.9,19.1,Laguda,6004,203,33.375,10,80,4.64,2.68,1.64,4.44,7.14,13,36,10.5
60,Jason Hall,,SS,Texas,,6020,219,109.1,-0.9,18.4,Hall,6020,219,31.5,9.375,75.75,4.59,2.65,1.66,4.32,7.33,18,36.5,10
61,Raven Greene,,FS,James Madison,,5111,197,107.7,-0.9,17.2,Greene,5111,197,31.125,9.875,74.5,4.51,2.62,1.57,4.41,7.08,14,34,9.92
62,Khalil Williams,,SS,Houston,,5110,213,108.6,-0.9,17.1,Williams,5110,213,32.25,10.125,75,4.66,2.61,1.64,4.51,6.88,18,36.5,9.83
63,Kyle Queiro,,SS,Northwestern,,6020,215,108.1,-1,16,Queiro,6020,215,33.375,9.625,81,4.75,2.77,1.67,4.16,6.94,16,32.5,10.17
64,Chauncey Scissum,,SS,UNLV,,6011,205,107.6,-1,14.8,Scissum,6011,205,31.75,8.75,77.25,4.71,2.7,1.66,4.51,7.35,18,38,10.67
65,Joe Ferguson,,SS,Wisconsin,,6005,190,107.5,-1.1,14.6,Ferguson,6005,190,30.375,8.5,72,4.73,2.7,1.63,4.19,6.73,5,34,10.25
66,Kenny James,,SS,Ferris State,,5096,200,106.9,-1.1,13.3,James,5096,200,30,8.875,74,4.64,2.75,1.57,4.47,7.34,18,34.5,10.25
67,Lawrence Austin,,FS,Georgia Tech,,5077,196,106,-1.1,13.1,Austin,5077,196,29.75,9.125,71,4.53,2.63,1.59,4.35,7.26,16,33.5,10.08
68,Armani Watts,DB67,FS,Texas A&M,22.5,5104,202,105.8,-1.1,12.8,Watts,5104,202,31,8.75,72.375,4.64,2.66,1.64,4.31,7.09,13,35,10
69,Jerel Morrow,,SS,Oklahoma State,,5104,208,106.6,-1.1,12.8,Morrow,5104,208,32.125,8.75,77,4.56,2.75,1.6,4.47,7.31,15,36,9.92
70,Stephen Roberts,DB63,FS,Auburn,,5112,186,105.6,-1.2,12.4,Roberts,5112,186,31.375,8.875,73.25,4.53,2.62,1.58,4.31,7.25,,34,10.08
71,C.J. Reavis,,SS,Marshall,,6003,203,106.4,-1.2,12.3,Reavis,6003,203,31.25,8.5,75.375,4.58,2.66,1.56,4.37,7.14,12,32.5,9.92
72,Carter Jacobs,,FS,Cincinnati,,6002,205,105,-1.2,11.1,Jacobs,6002,205,31.125,9.625,73.125,4.64,2.6,1.65,4.34,6.99,19,32,10.17
73,Ermon Lane,,SS,Florida State,,6021,203,105.7,-1.2,11.1,Lane,6021,203,32.875,8.875,76.75,4.61,2.66,1.58,4.42,7.18,11,34,10
74,Ramon Patton,,SS,West Georgia,,5111,207,105.6,-1.2,10.9,Patton,5111,207,30,9.375,72,4.68,2.73,1.6,4.42,6.9,20,32.5,9.75
75,Jalen Ortiz,,FS,Wyoming,,5086,191,104.7,-1.3,10.5,Ortiz,5086,191,30.25,9.25,72.25,4.51,2.56,1.63,4.39,7.16,16,34,10.25
76,Tony Fields,,SS,Indiana,,5101,199,105.4,-1.3,10.5,Fields,5101,199,29.625,8.75,73.5,4.65,2.67,1.67,4.28,7.27,16,36.5,10.17
77,Evan Berry,,SS,Tennessee,,5111,202,105.3,-1.3,10.4,Berry,5111,202,33,9.5,79,4.65,2.69,1.57,4.37,7.73,14,35.5,10.25
78,Joseph Este,,SS,Tennessee-Martin,,5096,197,105.2,-1.3,10.3,Este,5096,197,31.5,10,77.125,4.48,2.58,1.76,4.21,7.03,17,38.5,9.83
79,Kamari Cotton-Moya,,FS,Iowa State,,5116,202,103.2,-1.4,8.1,Cotton-Moya,5116,202,30.25,8.875,73.375,4.64,2.68,1.71,4.3,7.15,18,37,9.92
80,Damarion King,,SS,Louisiana Tech,,5111,202,103.7,-1.4,7.9,King,5111,202,30.75,8.75,74.125,4.58,2.75,1.63,4.51,6.88,21,34,9.67
81,Dallas Hart,,FS,New Mexico State,,5117,202,103.1,-1.4,7.9,Hart,5117,202,31.375,8.875,72.875,4.48,2.57,1.61,4.27,7.57,19,32.5,10
82,Kishawn McClain,,FS,North Texas,,5103,190,102.7,-1.5,7.3,McClain,5103,190,31.875,8.375,75.375,4.58,2.63,1.6,4.21,7.05,10,34.5,9.42
83,Nick Orr,,FS,TCU,,5110,179,102.3,-1.5,6.8,Orr,5110,179,30.875,8.625,73.625,4.57,2.53,1.55,4.21,6.93,14,33.5,9.17
84,DaeShaun Hurley,,SS,Grand Valley State,,5111,197,102.8,-1.5,6.8,Hurley,5111,197,30,9.5,72.375,4.69,2.68,1.65,4.53,7.05,13,35.5,10.33
85,Sean Chandler,DB47,FS,Temple,,5104,205,102,-1.5,6.4,Chandler,5104,205,30.75,8.25,72.375,4.6,2.69,1.6,4.62,7.19,16,34.5,9.92
86,Ezekiel Turner,,SS,Washington,,6014,212,102.1,-1.6,6,Turner,6014,212,31.5,9.25,75.375,4.65,2.66,1.58,4.41,6.95,19,30.5,9.42
87,Ramon Richards,,FS,Oklahoma State,,5111,187,101.6,-1.6,5.9,Richards,5111,187,30.125,8.75,74.625,4.62,2.71,1.61,4.4,6.99,11,33,10.08
88,Denzel Conyers,,SS,Maryland,,6020,211,101.9,-1.6,5.7,Conyers,6020,211,30.75,8.75,75,4.77,2.79,1.61,4.35,7.16,16,31,10
89,Jalyn Powell,,FS,Youngstown State,,5112,193,100.8,-1.6,5.1,Powell,5112,193,31.5,9.125,75.625,4.76,2.72,1.59,4.31,7.32,6,34.5,10
90,Jaden Sawyer,,SS,Nevada,,6003,190,101,-1.7,4.8,Sawyer,6003,190,30,8.375,74.125,4.65,2.63,1.62,4.4,7.06,11,32,10.33
91,Secdrick Cooper,,SS,Louisiana Tech,,6004,211,100.9,-1.7,4.7,Cooper,6004,211,32.625,9.125,78.375,4.65,2.65,1.63,4.76,7.21,21,35.5,9.83
92,Niko Gonzalez,,SS,Florida International,,5113,203,100.5,-1.7,4.3,Gonzalez,5113,203,29.375,8.75,73.25,4.69,2.7,1.62,4.4,7.25,16,33.5,9.83
93,Garrett Pougnet,,SS,Grand Valley State,,6016,212,100.5,-1.7,4.3,Pougnet,6016,212,30.375,10.125,74.125,4.7,2.68,1.69,4.31,7.05,22,32,9.83
94,Devan Stringer,,SS,Appalachian State,,5101,197,99.8,-1.8,3.8,Stringer,5101,197,31.125,8.625,74.5,4.63,2.63,1.7,4.34,7.45,23,38,9.75
95,Tim Roberts,,SS,Buffalo,,6005,206,99.7,-1.8,3.7,Roberts,6005,206,31.125,9.125,77,4.6,2.62,1.63,4.38,7.06,9,32.5,9.67
96,Ross Douglas,,FS,Rutgers,,5090,192,99.1,-1.8,3.5,Douglas,5090,192,31,8.75,73.375,4.64,2.7,1.64,4.24,7.39,15,33,10
97,Juan Giraldo,,FS,Eastern Michigan,,5104,203,98,-1.9,2.8,Giraldo,5104,203,30.75,8.25,71.625,4.6,2.62,1.63,4.33,7.28,17,33,9.42
98,Jaleel Wadood,,FS,UCLA,,5095,163,98,-1.9,2.7,Wadood,5095,163,29.125,9,71.5,4.6,2.62,1.52,4.25,6.92,9,30.5,9.67
99,Landry Payne,,SS,Oregon State,,5104,205,98.3,-1.9,2.7,Payne,5104,205,30.625,9,72.5,4.73,2.78,1.73,4.25,6.86,21,32.5,9.75
100,Evrett Edwards,,SS,Iowa State,,5111,193,98.2,-1.9,2.7,Edwards,5111,193,30.125,9,73.875,4.77,2.72,1.65,4.34,7.12,10,35,9.83
101,Rashaan Gaulden,DB11,FS,Tennessee,23.6,6006,197,97.7,-2,2.6,Gaulden,6006,197,30.75,9.75,73.125,4.61,2.69,1.62,4.26,7.16,8,30,9.92
102,Jordan Brown,,SS,James Madison,,6013,198,97.4,-2,2.2,Brown,6013,198,29.375,9,71.5,4.67,2.76,1.65,4.23,7.09,15,34,9.17
103,Josh Woods,,FS,Maryland,,6017,211,96.8,-2,2.1,Woods,6017,211,33,8.125,79.75,4.66,2.75,1.65,4.53,7.1,7,31.5,10.08
104,Shawn Boone,,SS,North Carolina State,,5100,190,96.7,-2.1,1.9,Boone,5100,190,30.5,9.5,73.125,4.73,2.75,1.58,4.4,7.14,12,32,9.67
105,Tim Kamana,,SS,Wyoming,,5103,204,96.7,-2.1,1.9,Kamana,5103,204,30.75,8.75,73.5,4.6,2.64,1.68,4.47,7.18,18,34.5,9.58
106,Johnathan Alston,,FS,North Carolina State,,6011,205,96.2,-2.1,1.8,Alston,6011,205,32.5,9,78.125,4.57,2.69,1.65,4.23,7.03,14,28.5,9.58
107,Chris Hawkins,,FS,Southern Cal,,5105,190,96.2,-2.1,1.8,Hawkins,5105,190,30.875,9.75,75,4.59,2.7,1.61,4.31,6.92,12,30.5,9.42
108,Zykiesis Cannon,,FS,Louisville,,5103,187,96,-2.1,1.7,Cannon,5103,187,30.25,8.75,73.25,4.6,2.68,1.62,4.71,6.84,15,34,9.58
109,Trevian Hicks,,SS,East Carolina,,5112,216,95.7,-2.2,1.5,Hicks,5112,216,30.5,9.875,74.125,4.76,2.7,1.62,4.59,7.5,16,34.5,9.67
110,Brandon Moss,,FS,UTEP,,6017,184,95.2,-2.2,1.4,Moss,6017,184,32.5,9.5,77.625,4.64,2.69,1.63,4.44,7.19,7,33.5,10
111,Ronald Lewis,,FS,Louisiana Tech,,5107,191,95.1,-2.2,1.3,Lewis,5107,191,31.125,8.875,74.25,4.69,2.69,1.67,4.38,7.1,14,34.5,9.58
112,Max Redfield,DB61,FS,Indiana (PA),,6010,199,95,-2.2,1.3,Redfield,6010,199,30,9.25,78,4.69,2.81,1.66,4.44,,16,35,9.58
113,Juwan Gardner,,SS,Western Kentucky,,5116,199,95,-2.2,1.3,Gardner,5116,199,31,9,72.75,4.81,2.66,1.73,4.63,7.12,12,37,10.42
114,Chase Dutra,,SS,Indiana,,6006,198,94,-2.3,1,Dutra,6006,198,30.125,9.5,74,4.71,2.71,1.67,4.44,7.13,,32,9.83
115,Andre Flakes,,SS,Troy,,5082,194,93.7,-2.4,0.9,Flakes,5082,194,28.875,8.875,69.75,4.89,2.85,1.66,4.35,6.79,8,35,9.17
116,Josh Cox,,FS,Central Michigan,,5094,194,93.6,-2.4,0.9,Cox,5094,194,30.375,8.625,72.125,4.76,2.75,1.69,4.25,7.02,16,32,9.58
