#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
35,Cam Serigne,,TE,Wake Forest,,6021,240,96.5,-1.5,6.2,Serigne,6021,240,32.125,9,77,4.97,2.9,1.7,4.34,7.09,17,32,9.08
36,Andrew Caskin,,TE,William & Mary,,6044,236,96.1,-1.6,5.8,Caskin,6044,236,31.5,8.75,73.75,4.87,2.84,1.69,4.5,7.02,14,32.5,9
37,Connor Davis,,TE,Stony Brook,,6074,254,96.1,-1.6,5.8,Davis,6074,254,32.625,9.875,81,4.81,2.81,1.7,4.59,7.44,17,29.5,9.58
38,Ethan Wolf,,TE,Tennessee,,6056,252,95.9,-1.6,5.7,Wolf,6056,252,32.5,8.875,76.75,4.98,2.88,1.7,4.29,7.14,15,29.5,9.17
39,Jason Reese,,TE,Missouri,,6040,259,95.7,-1.6,5.5,Reese,6040,259,33.125,9.25,80.125,4.88,2.82,1.72,4.7,7.48,16,32,9.5
40,Thomas Sirk,,TE,East Carolina,,6037,234,94.2,-1.7,4.4,Sirk,6037,234,31.75,9.375,76,4.88,2.85,1.68,4.4,7.2,,32,8.75
41,Shane Wimann,,TE,Northern Illinois,,6033,251,91.4,-1.9,2.8,Wimann,6033,251,31,9.125,75,4.95,2.86,1.75,4.59,7.2,19,30.5,9.25
42,Brandon Whaley,,TE,Delaware,,6034,249,91.3,-1.9,2.7,Whaley,6034,249,30.5,10.25,75.625,4.85,2.78,1.71,4.32,7.56,17,28,9.17
43,Alec Bloom,,TE,Connecticut,,6061,251,91.1,-1.9,2.6,Bloom,6061,251,33.5,9.25,81,4.92,2.87,1.73,4.6,7.27,13,29.5,9.5
44,Damion Hobbs,,TE,Utah State,,6016,240,90.8,-2,2.5,Hobbs,6016,240,31.75,9,77,4.83,2.78,1.71,4.76,7.78,11,33.5,9.58
45,Jacob Nesmith,,TE,Georgia State,,6031,249,89.3,-2.1,1.9,Nesmith,6031,249,31.375,9.5,76.25,4.98,2.91,1.81,4.56,7.25,23,29,9.42
46,Ishmail Wainright,,TE,Baylor,,6037,258,87.9,-2.2,1.5,Wainright,6037,258,34.5,9.5,84.25,5.02,2.89,1.78,4.88,7.97,13,33,9.67
47,Nate Wozniak,,TE,Minnesota,,6095,268,87.7,-2.2,1.4,Wozniak,6095,268,34.125,10,82,5.1,2.96,1.88,4.8,7.53,16,32,9.25
48,Cole Cook,,TE,North Carolina State,,6052,257,86.5,-2.3,1.1,Cook,6052,257,31.25,9.5,75.625,4.88,2.82,1.75,4.62,7.48,16,28.5,9.08
49,Tyler Cogswell,,TE,Cincinnati,,6043,247,81.3,-2.7,0.4,Cogswell,6043,247,31.75,8.875,77.25,4.9,2.86,1.84,4.51,7.35,16,27,8.83
50,Ty Quick,,TE,Mississippi,,6033,261,81.3,-2.7,0.4,Quick,6033,261,32.625,9.5,77.25,5,2.97,1.75,4.62,7.57,12,31,8.5
