#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
35,Matthew Adams,,ILB,Houston,,6000,229,119.8,0,48.1,Adams,6000,229,31.25,9.625,74.875,4.63,2.7,1.63,4.46,7.05,30,33.5,10.17
36,Josey Jewell,LB22,ILB,Iowa,23.7,6010,234,119.8,0,48.1,Jewell,6010,234,32,10,77.5,4.79,2.76,1.63,4.27,6.8,22,35,9.75
37,Anthony Ocasio,,OLB,New Mexico,,6004,219,119.7,-0.1,47.9,Ocasio,6004,219,31.875,9.125,75.75,4.57,2.77,1.67,,,26,33,10.17
38,Petera Wilson Jr,,ILB,Tulsa,,6016,227,119.3,-0.1,46.3,Wilson Jr,6016,227,33,10.625,77.875,4.76,2.73,1.65,4.31,7.03,20,35,10.33
39,Marcus Porter,,ILB,Fairmont State,,6002,229,119.2,-0.1,45.9,Porter,6002,229,32.125,9.25,77.375,4.65,2.71,1.6,4.22,6.91,14,32.5,9.92
40,Nela Lolohea,,OLB,Wyoming,,5111,238,119,-0.1,45.8,Lolohea,5111,238,31.25,9.5,74.125,4.6,2.63,1.63,4.34,7.06,21,33,9.83
41,Bryan Jones,,ILB,Saginaw Valley State,,6010,235,118.8,-0.1,44.6,Jones,6010,235,30.625,9.5,75,4.75,2.82,1.69,4.34,7.15,27,35.5,10.17
42,Demarquis Gates,,OLB,Mississippi,,6023,221,118.4,-0.1,44.1,Gates,6023,221,33.5,9.375,80.625,4.61,2.75,1.62,4.29,7.4,17,34.5,10.42
43,Michael Wroblewski,,OLB,Michigan,,6021,238,117.3,-0.2,40.8,Wroblewski,6021,238,31.625,9.75,76,4.68,2.73,1.71,4.16,6.73,24,32,9.5
44,Darius Leonard,LB25,OLB,South Carolina State,,6020,234,116.9,-0.3,39.7,Leonard,6020,234,34.375,10.25,82.125,4.7,2.77,1.69,4.63,7.37,20,38,10.67
45,Christian Sam,LB32,ILB,Arizona State,22.2,6010,244,117.3,-0.3,39.7,Sam,6010,244,31.5,10,76.75,4.73,2.74,1.63,4.2,7.03,28,32,9.5
46,Raymond Davison III,,OLB,California,,6015,230,116.4,-0.3,38.5,Davison III,6015,230,31.875,8.875,78.75,4.59,2.66,1.63,4.32,7.31,24,35.5,9.5
47,Caleb Bailey,,OLB,Western Michigan,,5116,223,116.3,-0.3,38.1,Bailey,5116,223,32.875,8.25,77.125,4.66,2.63,1.6,4.5,7.25,16,37,10.08
48,Azeem Victor,LB39,ILB,Washington,23,6021,240,116.7,-0.3,38,Victor,6021,240,33,9.375,77.75,4.72,2.74,1.62,4.27,6.94,19,32.5,9.67
49,Frank Ginda,,ILB,San Jose State,,6000,235,115.9,-0.4,35.5,Ginda,6000,235,30.375,9.375,76.625,4.72,2.75,1.63,4.31,6.97,29,33,9.5
50,Tre' Williams,,OLB,Auburn,,6020,236,115.2,-0.4,35.3,Williams,6020,236,32.5,9.25,74.75,4.66,2.75,1.65,4.37,7.27,21,34.5,9.83
51,Dylan Hanser,,OLB,Washington State,,6033,244,115.1,-0.4,34.7,Hanser,6033,244,33,8.5,79.5,4.73,2.74,1.68,4.15,7.03,,33,9.33
52,Chris Covington,LB09,OLB,Indiana,22.7,6021,245,115,-0.4,34.6,Covington,6021,245,32.5,9.25,78.25,4.78,2.76,1.63,4.39,7.02,23,33.5,9.67
53,Deion Pierre,,OLB,Samford,,6013,225,114.8,-0.4,34.2,Pierre,6013,225,32.75,9.375,80.125,4.82,2.75,1.58,4.56,7.29,10,38.5,10.42
54,Kyre Hawkins,,OLB,James Madison,,6001,220,114.6,-0.4,33.5,Hawkins,6001,220,31,8.125,76.125,4.66,2.69,1.66,4.37,7.02,,34,9.92
