#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Kolton Miller,OL25,OT,UCLA,23,6085,309,136,2.4,99.2,Miller,6085,309,34.125,10.75,82.5,4.91,2.82,1.67,4.49,7.34,24,31.5,10.08
2,Patrick Morris,,OG,TCU,,6023,300,128.2,2.1,98.2,Morris,6023,300,31.25,9,74.125,5.09,2.89,1.8,4.41,7.34,37,35.5,9.75
3,Korey Cunningham,,OT,Cincinnati,,6053,311,127.6,1.8,96.1,Cunningham,6053,311,32.25,9.375,82.5,4.9,2.74,1.75,,,27,35.5,9.92
4,Frank Ragnow,OL35,OC,Arkansas,22.3,6051,312,118.9,1.3,90.1,Ragnow,6051,312,33.125,9.375,78.875,4.99,2.91,1.74,4.51,8.04,27,33.5,9.58
5,Evan Brown,,C,SMU,,6024,302,117.7,1.2,88.2,Brown,6024,302,32.5,10,79.125,5.03,2.91,1.82,4.46,7.87,36,36,9.42
6,Scott Quessenberry,OL34,OC,UCLA,23.4,6035,310,117,1.1,87,Quessenberry,6035,310,31.75,9.75,76.875,5.09,2.94,1.75,4.69,7.5,25,33.5,9.25
7,Braden Smith,OL40,OG,Auburn,22.4,6062,315,116,1.1,86.4,Smith,6062,315,32.25,9.375,78.125,5.2,3.01,1.79,4.77,7.81,35,33.5,9.42
8,Brian O'Neill,OL29,OT,Pittsburgh,23,6067,297,117.9,1,84.9,O'Neill,6067,297,34.125,9.375,78.5,4.8,2.83,1.7,4.5,7.14,22,29.5,8.92
9,Michael Henderman,,OG,Liberty,,6026,298,114.9,1,84.3,Henderman,6026,298,32.625,8.75,79.875,5.12,3,1.81,4.77,7.5,27,34,9.67
10,Connor Williams,OL47,OT,Texas,21.3,6051,296,114.6,0.8,78.3,Williams,6051,296,33,10.5,77.875,5.05,2.89,1.72,4.63,7.83,26,34,9.33
11,Matt Gono,,OG,Wesley,,6040,316,112.1,0.8,78.2,Gono,6040,316,34.375,9.875,82.125,5.21,2.9,1.74,4.6,7.76,26,27,9.83
12,Austin Schlottman,,C,TCU,,6052,296,111.7,0.7,75.3,Schlottman,6052,296,32.25,10,78.5,5,2.82,1.71,4.76,7.5,32,30,9
13,Wyatt Teller,OL42,OG,Virginia Tech,23.8,6044,314,109.8,0.6,72.2,Teller,6044,314,34,10.25,81.875,5.24,3.06,1.85,4.79,7.45,30,29,9.5
14,Will Hernandez,OL16,OG,UTEP,23,6023,327,107.7,0.4,66.1,Hernandez,6023,327,32,9.875,77.75,5.15,2.96,1.75,4.7,7.59,37,27,8.67
15,Gerhard de Beer,,OT,Arizona,,6064,312,109.1,0.4,64.2,de Beer,6064,312,34.125,10.5,81.875,5.21,2.96,1.82,4.72,7.52,35,30.5,9
16,Jovann Letuli,,OG,Akron,,6032,340,107,0.4,63.9,Letuli,6032,340,31.25,9.25,76.625,5.28,3.02,1.75,5.32,8.41,30,31,8.58
17,Jashon Robertson,,OG,Tennessee,,6024,292,106.5,0.3,62.3,Robertson,6024,292,33.25,9.25,78.5,5.19,2.94,1.82,4.68,7.87,24,34,9.5
18,Tuni Kanuch,,OG,BYU,,6017,306,104.9,0.2,57.2,Kanuch,6017,306,29.875,9.125,73.875,5.1,2.98,1.75,4.64,7.77,30,32,8.5
19,David Steinmetz,,OT,Purdue,,6074,321,106.5,0.2,56.7,Steinmetz,6074,321,34.25,9.5,80.375,5.38,3.02,1.93,4.75,8.13,26,33,9.58
20,Christian DiLauro,,OT,Illinois,,6054,300,106.4,0.2,56.5,DiLauro,6054,300,33.375,10.25,79.5,5.05,2.95,1.81,4.76,7.61,25,32,9.25
