#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
35,Alec James,,DE,Wisconsin,,6030,262,110.5,-0.7,24.7,James,6030,262,32.125,9.75,87.25,4.87,2.84,1.73,4.51,7.28,26,32.5,9.92
36,Jonathan Wynn,,DE,Vanderbilt,,6042,256,110.4,-0.7,24.5,Wynn,6042,256,33.875,9.75,80.5,4.77,2.69,1.65,4.47,7.13,19,32,9.42
37,Patrick Choudja,,DE,Nevada,,6030,255,109.7,-0.7,22.8,Choudja,6030,255,34.125,9.5,78.125,4.89,2.84,1.65,4.68,7.56,24,37.5,9.83
38,David Manoa,,DE,Hawaii,,6031,247,109.6,-0.8,22.6,Manoa,6031,247,33.625,10.375,80.375,5,2.84,1.76,4.31,7.09,19,37,9.67
39,Andy Flusche,,DE,North Texas,,6020,247,109.5,-0.8,22.5,Flusche,6020,247,32.75,9.875,78.625,4.71,2.77,1.71,4.72,7.4,23,36.5,9.75
40,Jalyn Holmes,DL36,DE,Ohio State,22.6,6047,283,109.2,-0.8,21.8,Holmes,6047,283,34,10,81.875,4.82,2.79,1.67,4.59,7.62,25,32,9.33
41,Meffy Koloamatangi,,DE,Hawaii,,6046,250,109.1,-0.8,21.5,Koloamatangi,6046,250,33.375,9.625,80.5,4.77,2.75,1.65,4.55,7.25,15,33,9.83
42,Albert Havili,,DE,Eastern Washington,,6017,278,108.5,-0.8,20.2,Havili,6017,278,31.5,9,75.875,4.83,2.72,1.64,4.59,7.31,29,29,9.25
43,Ola Adeniyi,DL24,DE,Toledo,21,6011,248,108.4,-0.8,20,Adeniyi,6011,248,31.75,9.625,76.5,4.83,2.81,1.68,4.28,7.21,26,31.5,
44,Hercules Mata'afa,DL42,DE,Washington State,23,6022,254,108.3,-0.8,19.9,Mata'afa,6022,254,31.5,10.25,76.125,4.76,2.76,1.64,4.37,7.24,26,31.5,9
45,Sione Teuhema,,DE,Southeastern,,6040,241,108,-0.9,19.3,Teuhema,6040,241,32.625,9.375,78.5,4.78,2.82,1.68,4.41,7.18,15,32.5,9.75
