#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Denzel Ward,DB41,CB,Ohio State,21.3,5107,183,140.5,2.2,98.8,Ward,5107,183,31.25,8.75,74.75,4.32,2.48,1.47,,,16,39,11.33
2,Christian Campbell,DB04,CB,Penn State,22.8,6006,195,135.8,1.8,96.4,Campbell,6006,195,33.5,8.75,79,4.55,2.58,1.56,4.18,6.77,14,41,11.25
3,Emmanuel Moseley,,CB,Tennessee,22.4,5111,190,134.6,1.7,95.4,Moseley,5111,190,31.5,9.125,75.75,4.42,2.59,1.5,4.03,6.84,21,38.5,10.5
4,Keion Crossen,,CB,Western Carolina,,5091,178,133.6,1.6,94.3,Crossen,5091,178,32.125,8.75,76,4.33,2.63,1.56,4.01,6.67,13,39.5,10.92
5,Quenton Meeks,DB26,CB,Stanford,21.2,6010,209,133.2,1.5,93.9,Meeks,6010,209,31.75,10.25,76.25,4.54,2.65,1.53,4.23,6.72,11,39,10.67
6,Josh Jackson,DB18,CB,Iowa,22.4,6003,196,133.2,1.5,93.9,Jackson,6003,196,31.125,9.375,74.25,4.48,2.6,1.52,4.03,6.86,18,40,10.25
7,Avonte Maddox,DB24,CB,Pittsburgh,22.4,5091,184,132.9,1.5,93.5,Maddox,5091,184,29.5,8.75,71.375,4.39,2.55,1.5,4,6.51,13,37,10.42
8,Jaire Alexander,DB01,CB,Louisville,21.6,5102,196,131.7,1.4,91.9,Alexander,5102,196,31.125,9.5,74.75,4.38,2.55,1.52,3.98,6.71,14,35,10.58
9,Andre Chachere,DB05,CB,San Jose State,22.6,5116,197,129.5,1.2,88.3,Chachere,5116,197,31.375,9.875,75.75,4.49,2.61,1.52,4.07,6.78,13,38,10.25
10,Tafon Mainsah,,CB,Richmond,,5097,196,129.5,1.2,88.3,Mainsah,5097,196,30.625,9.75,75.375,4.46,2.6,1.54,4.07,6.96,18,39,10.33
11,Dane Cruikshank,DB48,CB,Arizona,22.3,6012,209,129.2,1.2,87.6,Cruikshank,6012,209,31,8.75,74.375,4.41,2.59,1.55,4.24,6.89,25,38.5,10.08
12,Deatrick Nichols,,CB,South Florida,,5090,185,128.3,1.1,85.8,Nichols,5090,185,29,8.625,70.75,4.44,2.52,1.51,4.18,6.72,15,37,10.58
13,Jordan Thomas,DB36,CB,Oklahoma,22.6,6001,187,127.5,1,84.1,Thomas,6001,187,32,9.5,77.75,4.64,2.67,1.57,3.94,6.28,4,38,10.33
