#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
37,Quincy Wilson,DB58,CB,Florida,21,6014,211,116,-0.1,45.3,Wilson,6014,211,32.25,9.625,75.625,4.54,2.65,1.58,4.02,6.86,14,32,9.83
38,Howard Wilson,DB57,CB,Houston,21.8,6005,184,115.9,-0.1,44.8,Wilson,6005,184,31.375,9.625,76.375,4.56,2.64,1.56,3.94,6.68,10,33.5,9.92
39,Josh Marshall,,CB,Troy,,5102,187,115.5,-0.2,43.5,Marshall,5102,187,,,,4.7,2.69,1.51,4.28,7.04,16,36.5,10.08
40,Nias Martin,,CB,New Mexico,,5094,187,115.5,-0.2,43.3,Martin,5094,187,,,,4.53,,,4.15,7.06,12,37.5,10.08
41,Alfonso Mack,,CB,Bowling Green,,5106,180,115.4,-0.2,43.2,Mack,5106,180,,,,4.59,2.59,1.56,4.25,6.75,16,36.5,10.08
42,Ryan Reid,,CB,Baylor,,5085,186,115.4,-0.2,43,Reid,5085,186,,,,4.51,2.52,1.53,4.24,7.09,12,35.5,10.25
43,Darion Flowers,,CB,Sam Houston State,,5103,191,115.4,-0.2,42.9,Flowers,5103,191,,,,4.64,,,4.33,6.63,16,38,10.08
44,John Green,,CB,Connecticut,,5100,180,115.3,-0.2,42.5,Green,5100,180,,,,4.42,2.47,1.58,4.29,6.8,12,36.5,10.25
45,Desmond King,DB30,CB,Iowa,22.7,5097,201,115.1,-0.2,41.7,King,5097,201,31.125,9.625,74.25,4.6,2.64,1.57,4.18,6.67,14,34,9.75
46,Jonathan Moxey,,CB,Boise State,,5095,188,115,-0.2,41.4,Moxey,5095,188,,,,4.57,2.59,1.55,4.05,6.96,17,33,10.08
47,Rasul Douglas,DB10,CB,West Virginia,23,6015,209,114.2,-0.3,38.5,Douglas,6015,209,32.375,9.25,76.875,4.59,2.64,1.57,4.26,6.97,16,33.5,10
48,Reggie Porter,,CB,Utah,23.1,5110,181,114.1,-0.3,38.3,Porter,5110,181,29.625,9.125,73.125,4.47,2.53,1.55,4.37,6.73,9,34,10.5
49,Najee Murray,,CB,Kent State,,5085,182,114.1,-0.3,38.1,Murray,5085,182,,,,4.54,2.65,1.59,4.05,6.83,15,34,10.17
50,Horace Richardson,,CB,SMU,,5113,199,113.9,-0.3,37.3,Richardson,5113,199,,,,4.48,2.62,1.55,4.26,7.52,14,35,10.5
51,Kailo Moore,,CB,Mississippi,,5110,196,113.7,-0.3,36.6,Moore,5110,196,,,,4.47,2.58,1.57,4.46,7.37,5,39.5,10.5
52,Serge Trezy,,CB,Wisconsin,,6013,207,113.5,-0.4,36.1,Trezy,6013,207,,,,4.51,2.63,1.62,4.3,7,16,34.5,10.25
53,Budda Baker,DB04,CB,Washington,21.6,5095,195,113.5,-0.4,35.9,Baker,5095,195,30.75,9,71.75,4.45,2.59,1.56,4.08,6.76,15,32.5,9.58
54,Raheem Wilson,,CB,SE Oklahoma State,,5100,179,113.3,-0.4,35.4,Wilson,5100,179,,,,4.65,2.69,1.57,4.12,6.95,11,34.5,10.5
55,DaQuan Pace,,CB,Eastern Michigan,,5092,170,113.2,-0.4,35,Pace,5092,170,,,,4.58,2.59,1.52,3.97,6.76,15,33.5,9.75
56,Cole Luke,,CB,Notre Dame,,5112,198,112.7,-0.4,33,Luke,5112,198,,,,4.63,2.65,1.55,4.16,6.82,11,35.5,9.42
57,Joshua Holsey,,CB,Auburn,,5096,190,112.6,-0.4,32.9,Holsey,5096,190,,,,4.48,2.62,1.51,4.4,6.99,15,35,9.83
58,Chevy Graham,,CB,Kansas,,5094,193,112.6,-0.4,32.7,Graham,5094,193,,,,4.73,2.6,1.6,4.32,6.8,15,36,10.25
59,Mondo Williams,,CB,Appalachian State,,5090,169,112.4,-0.5,32.1,Williams,5090,169,,,,4.51,2.59,1.52,4.2,7.25,8,35,10.67
60,Ezra Robinson,DB44,CB,Tennessee State,23.5,5110,189,112.1,-0.5,30.9,Robinson,5110,189,31.5,8.75,75.875,4.47,2.61,1.56,4.44,7.43,13,36,10.83
61,Cameron Sutton,DB47,CB,Tennessee,22.5,5112,188,111.8,-0.5,30.1,Sutton,5112,188,30,8.25,72.625,4.52,2.62,1.57,4.23,6.81,11,34,10
62,Tre'Davious White,DB55,CB,LSU,22.6,5112,192,111.8,-0.5,30.1,White,5112,192,32.125,9.125,75.75,4.47,2.61,1.52,4.32,6.9,16,32,9.92
63,Art Maulet,DB38,CB,Memphis,24.1,5096,189,111.8,-0.5,30,Maulet,5096,189,31.25,9.625,74.125,4.62,2.56,1.58,4.34,7.12,18,36.5,10.25
64,Wayne Morgan,,CB,Syracuse,,5092,194,111.6,-0.5,29.3,Morgan,5092,194,,,,4.58,2.66,1.59,4.26,7.01,13,34,10.33
65,J.D. Harmon,,CB,Kentucky,,6006,196,111.4,-0.6,28.7,Harmon,6006,196,,,,4.65,2.63,1.54,4.53,6.99,14,35,10.33
66,Nana Kyeremeh,,CB,West Virginia,,5096,191,111.4,-0.6,28.7,Kyeremeh,5096,191,,,,4.59,2.65,1.54,4.11,6.87,7,32,10
67,Jourdan Lewis,DB35,CB,Michigan,22,5102,188,111.2,-0.6,28.1,Lewis,5102,188,31.625,9.25,75.125,4.47,2.51,1.57,4.38,6.88,15,34.5,10.08
68,Sidney Jones,DB28,CB,Washington,21.3,6000,186,111,-0.6,27.3,Jones,6000,186,31.5,9.375,71.875,4.47,2.62,1.56,4.28,7.02,12,33.5,10.25
69,Brad Watson,,CB,Wake Forest,22,6003,188,110.9,-0.6,27,Watson,6003,188,31.625,8.375,75.625,4.65,2.66,1.59,4.25,7.26,11,33.5,11
70,Maurice Fleming,,CB,West Virginia,,5106,207,110.7,-0.6,26.3,Fleming,5106,207,,,,4.52,2.59,1.6,4.14,6.87,19,32,9.58
71,Breon Borders,,CB,Duke,22.1,5114,189,110.5,-0.7,25.8,Borders,5114,189,30.25,8.25,74,4.49,2.58,1.53,4.39,6.98,12,34,10
72,DaShaun Amos,,CB,East Carolina,,5115,185,110.4,-0.7,25.3,Amos,5115,185,,,,4.5,2.59,1.52,4.09,7.03,16,32,9.67
73,Jordan Ford,,CB,Campbell,,6004,196,110,-0.7,24.1,Ford,6004,196,,,,4.68,2.75,1.54,4.3,7.06,12,32,10.33
74,Sheroid Evans,,CB,Texas,,6011,188,109.8,-0.7,23.8,Evans,6011,188,,,,4.59,2.71,1.63,4.29,7,9,36,10.5
75,Marquez White,DB54,CB,Florida State,22.8,5116,194,109.8,-0.7,23.6,White,5116,194,32.125,10,77.375,4.59,2.65,1.58,4.36,7.28,,36,10.25
76,Ayrn Curtis,,CB,Northwood,,6012,211,109.4,-0.8,22.5,Curtis,6012,211,,,,4.68,2.69,1.65,4.34,7.17,,37,10.08
77,Michael Tyson,DB53,CB,Cincinnati,,6011,204,109.3,-0.8,22.1,Tyson,6011,204,31.75,9.25,76,4.52,2.63,1.58,4.26,7.14,17,33,9.83
78,Torry McTyer,,CB,UNLV,22.4,5113,178,109.2,-0.8,21.9,McTyer,5113,178,30.25,9,73.125,4.41,2.56,1.57,4.42,6.91,10,33.5,10.5
79,Adrian Colbert,,CB,Miami,23.9,6004,200,109,-0.8,21.2,Colbert,6004,200,31.75,8,74.375,4.49,2.53,1.52,4.31,7.24,10,33.5,9.75
80,Cordrea Tankersley,DB49,CB,Clemson,23.8,6012,199,108.9,-0.8,21.1,Tankersley,6012,199,32.25,9.125,76.25,4.4,2.6,1.56,4.32,7,13,30.5,10.08
81,Darius Jones Jr,,CB,Georgia Southern,,5082,179,108.9,-0.8,21,Jones Jr,5082,179,,,,4.56,2.58,1.56,4.26,6.95,10,35.5,9.92
82,Nate Hairston,DB16,CB,Temple,23.2,5117,196,108.9,-0.8,20.9,Hairston,5117,196,31,9.5,73.875,4.52,2.65,1.59,4.47,6.85,14,35.5,9.83
83,Daquan Holmes,,CB,American International,,5104,187,108.8,-0.8,20.7,Holmes,5104,187,,,,4.45,2.53,1.63,4.41,7.09,12,36.5,10.42
84,Dante Blackmon,,CB,Kennesaw State,,5104,193,108.4,-0.9,19.7,Blackmon,5104,193,,,,4.53,2.67,1.64,4.4,6.72,16,35.5,9.92
85,Josh Thornton,,CB,Southern Utah,,5106,181,108.3,-0.9,19.3,Thornton,5106,181,31.125,9.375,76.5,4.42,2.56,1.58,4.19,6.94,16,32.5,9.92
86,Nigel Tribune,,CB,Iowa State,,5103,190,108.2,-0.9,19.2,Tribune,5103,190,,,,4.49,2.64,1.57,4.61,7.19,16,35.5,10.5
87,Cameron Stubbs,,CB,Dayton,,5094,199,108.2,-0.9,19.1,Stubbs,5094,199,,,,4.58,2.7,1.64,4.32,6.9,20,33,10.17
88,John Gibson,,CB,Missouri,,5097,186,108,-0.9,18.6,Gibson,5097,186,,,,4.5,2.6,1.51,4.32,6.96,14,31,9.92
89,Nehemiah Coward,,CB,Central State,,5100,170,107.7,-0.9,17.9,Coward,5100,170,,,,4.47,2.65,1.55,4.25,7.2,10,36,10.08
90,Zavian Bingham,,CB,Jackson State,,5100,190,107.7,-0.9,17.8,Bingham,5100,190,,,,4.54,2.65,1.56,4.45,7.43,9,37.5,10.25
91,KJ Jenkins,,CB,Jacksonville,,5095,198,107.6,-0.9,17.6,Jenkins,5095,198,,,,4.56,2.56,1.55,4.55,7.35,18,34.5,10.33
92,Des Lawrence,,CB,North Carolina,22.8,5116,187,107.5,-0.9,17.4,Lawrence,5116,187,30.5,8.375,72.375,4.55,2.67,1.54,4.23,6.88,20,32,9.5
93,Teez Tabor,DB48,CB,Florida,21.7,6004,199,107.3,-1,16.9,Tabor,6004,199,32,8.625,76.625,4.62,2.67,1.58,4.22,6.99,9,32,10
94,Darius Mosely,,CB,Illinois,,5097,184,107.3,-1,16.7,Mosely,5097,184,,,,4.63,2.58,1.51,4.29,6.83,14,32.5,9.58
95,James Gales,,CB,Princeton,,5095,188,107.2,-1,16.7,Gales,5095,188,,,,4.61,2.68,1.62,4.23,7.07,12,37,9.83
96,Manny Abad,,CB,Florida Tech,,5114,184,107.1,-1,16.4,Abad,5114,184,,,,4.54,2.59,1.55,4.1,6.69,15,33.5,9
97,Damontae Kazee,DB29,CB,San Diego State,24.2,5102,184,107.1,-1,16.4,Kazee,5102,184,30.875,8.625,73.25,4.54,2.65,1.6,4.27,7.11,11,34,10.33
