#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Myles Garrett,DL15,EDGE,Texas A&M,21.7,6044,272,149.3,2.2,98.7,Garrett,6044,272,35.25,10.25,82.625,4.64,2.68,1.57,,,33,41,10.67
2,Jordan Willis,DL57,EDGE,Kansas State,22.3,6036,255,145.7,2,97.5,Willis,6036,255,33.5,9.875,80.5,4.53,2.59,1.57,4.28,6.85,24,39,10.42
3,Samson Ebukam,,EDGE,Eastern Washington,22.3,6017,240,143.5,1.8,96.3,Ebukam,6017,240,32.375,9.625,79,4.5,2.57,1.53,4.34,7.07,24,39,10.83
4,T.J. Watt,LB29,EDGE,Wisconsin,22.9,6044,252,142,1.7,95.3,Watt,6044,252,33.125,11,78.875,4.69,2.71,1.59,4.13,6.79,21,37,10.67
5,Hassan Reddick,DL40,EDGE,Temple,22.9,6014,237,141.3,1.6,94.8,Reddick,6014,237,32.75,10.125,78.25,4.52,2.62,1.59,4.26,7.01,24,36.5,11.08
6,Solomon Thomas,DL48,EDGE,Stanford,21.7,6025,273,140.7,1.6,94.3,Thomas,6025,273,33,9.375,78.875,4.69,2.76,1.65,4.28,6.95,30,35,10.5
7,Tyus Bowser,LB06,EDGE,Houston,22.3,6025,247,138.4,1.4,92,Bowser,6025,247,33.25,10.125,79.125,4.65,2.68,1.59,4.34,6.75,21,37.5,10.58
8,Trey Hendrickson,DL20,EDGE,Florida Atlantic,22.7,6040,266,134.7,1.1,87.1,Hendrickson,6040,266,32,9.875,77.125,4.65,2.68,1.59,4.2,7.03,18,33.5,10.17
9,JT Jones,,EDGE,Miami (OH),,6011,249,134.4,1.1,86.6,Jones,6011,249,,,,,,1.63,4.36,7.1,16,39.5,10.67
10,Derek Rivers,DL41,EDGE,Youngstown State,,6035,248,132,0.9,82.4,Rivers,6035,248,32.75,9.375,77.625,4.61,2.66,1.6,4.4,6.94,30,35,10.25
11,Daeshon Hall,DL18,EDGE,Texas A&M,22.2,6052,266,129.7,0.8,77.6,Hall,6052,266,35,9.625,81.625,4.76,2.76,1.66,4.38,7.03,18,36,10.25
12,Jeremiah Ledbetter,DL29,EDGE,Arkansas,23.2,6031,280,125.1,0.4,66,Ledbetter,6031,280,34.25,10,81.125,4.8,2.7,1.67,4.56,7.55,29,33.5,10.67
13,Carl Lawson,DL28,EDGE,Auburn,22.2,6016,261,124.9,0.4,65.3,Lawson,6016,261,31.5,10.375,76.875,4.67,2.67,1.6,4.19,7.46,35,33,9.5
14,Keion Adams,,EDGE,Western Michigan,22.2,6020,247,124.9,0.4,65.2,Adams,6020,247,32.125,9.375,78.5,4.7,2.7,1.63,4.38,7.36,27,36,10.33
15,Keionta Davis,DL12,EDGE,Chattanooga,23.5,6030,271,124.2,0.3,63.5,Davis,6030,271,34,9.5,81.125,4.72,2.71,1.63,4.62,7.64,30,37.5,10.08
16,Deatrich Wise Jr.,DL58,EDGE,Arkansas,23.1,6052,274,124.2,0.3,63.3,Wise Jr.,6052,274,35.625,10.5,84.875,4.92,2.86,1.7,4.36,7.07,22,33,10.42
17,Tarell Basham,DL04,EDGE,Ohio,23.5,6036,269,123.8,0.3,62.4,Basham,6036,269,34.25,10.25,79.625,4.7,2.68,1.6,4.35,7.27,15,32.5,9.92
18,Ifeadi Odenigbo,DL35,EDGE,Northwestern,,6030,258,123.6,0.3,61.7,Odenigbo,6030,258,32.625,10.5,79.125,4.72,2.76,1.66,4.4,7.26,25,31.5,10.67
19,Cameron Malveaux,,EDGE,Houston,22.9,6054,273,123.1,0.3,60.4,Malveaux,6054,273,34.25,10,83.25,4.77,2.75,1.7,4.62,7.51,21,37.5,10.42
20,Ejuan Price,DL38,EDGE,Pittsburgh,24.6,5113,241,122.9,0.2,59.7,Price,5113,241,32.75,10,77,4.75,2.65,1.62,4.34,6.98,20,34.5,10.17
21,Taco Charlton,DL09,EDGE,Michigan,22.8,6055,277,122.4,0.2,58.3,Charlton,6055,277,34.25,9.75,81.875,4.86,2.8,1.63,4.39,7.17,25,33,9.67
22,Tashawn Bower,DL05,EDGE,LSU,22.5,6046,250,120.4,0.1,52.3,Bower,6046,250,33.375,9.875,79.75,4.81,2.75,1.65,4.37,7.11,20,34,10.33
23,Alton Voss,,EDGE,Grand Valley State,,6022,255,119.9,0,51,Voss,6022,255,,,,4.8,2.75,1.65,4.26,6.91,20,34.5,9.42
