#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Speedy Noil,WO34,WR,Texas A&M,21.9,5105,199,140.6,2.2,98.5,Noil,5105,199,30,9.25,73.875,4.45,2.56,1.5,,,18,43.5,11.08
2,Robert Davis,WO12,WR,Georgia State,22.4,6025,219,139.3,2.1,98,Davis,6025,219,33,9.625,78.5,4.44,2.6,1.58,4.28,6.82,19,41,11.33
3,John Ross,WO42,WR,Washington,22.8,5106,188,136.3,1.8,96.3,Ross,5106,188,31.5,8.75,72.875,4.22,2.47,1.49,,,,37,11.08
4,Taywan Taylor,WO51,WR,Western Kentucky,22.5,5110,203,136,1.8,96.1,Taylor,5110,203,32.625,9.25,76.75,4.45,2.56,1.52,4.21,6.57,13,38,11
5,Francis Owusu,,WR,Stanford,,6024,221,134.8,1.7,95.2,Owusu,6024,221,,,,4.37,2.55,1.52,4.13,7.07,12,39,10.58
6,Zay Jones,WO26,WR,East Carolina,22.4,6021,201,133.7,1.6,94.2,Jones,6021,201,32.5,9,77.5,4.45,2.61,1.55,4.01,6.79,15,36.5,11.08
7,C.J. Board,,WR,Chattanooga,,6005,181,132.9,1.5,93.3,Board,6005,181,,,,4.42,2.53,1.51,4.06,6.67,9,38.5,11
8,Riley McCarron,,WR,Iowa,,5090,188,132.8,1.5,93.2,McCarron,5090,188,,,,4.41,2.55,1.5,4.16,6.59,,40.5,10.33
9,Quincy Adeboyejo,WO02,WR,Mississippi,22.3,6025,197,131.6,1.4,91.7,Adeboyojo,6025,197,31.75,9.375,77.25,4.42,2.59,1.43,4.14,6.73,8,37,10.25
10,Deante Burton,,WR,Kansas State,,6017,200,130.9,1.3,90.8,Burton,6017,200,,,,4.53,2.65,1.56,4.07,6.75,,38,10.83
11,Justice Liggins,,WR,Stephen F. Austin,,6005,206,130.1,1.3,89.5,Liggins,6005,206,,,,4.51,2.59,1.53,4.25,6.86,16,39,10.58
12,Chris Godwin,WO18,WR,Penn State,21.5,6010,209,130.1,1.3,89.5,Godwin,6010,209,31.625,9.125,76.5,4.42,2.58,1.54,4,7.01,19,36,10.5
