#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
38,Drico Johnson,,FS,Central Florida,,6013,200,115,-0.2,41.3,Johnson,6013,200,,,,4.6,2.62,1.6,4.31,7.05,16,37.5,10.17
39,Nate Gerry,DB14,DS,Nebraska,22.5,6017,218,115.4,-0.2,40.1,Gerry,6017,218,31.25,9.25,73.5,4.58,2.66,1.55,4.37,7.14,17,33.5,10.17
40,Chris Humes,,SS,Arkansas State,,5115,201,115.9,-0.3,39.7,Humes,5115,201,,,,4.56,2.65,1.58,4.45,7.59,20,41,10.5
41,Jadar Johnson,DB25,DS,Clemson,22.2,6003,206,115.2,-0.3,39.2,Johnson,6003,206,32,9.25,77.375,4.6,2.68,1.62,4.2,6.9,19,33.5,10.33
42,Terrence Singleton,,FS,Prairie View A&M,,5103,201,114.3,-0.3,38.5,Singleton,5103,201,,,,4.53,2.53,1.51,4.31,7.16,14,34,10
43,Marcus Maye,DB39,DS,Florida,23.5,5116,210,115,-0.3,38.5,Maye,5116,210,32.5,9.125,77.25,4.47,2.71,1.57,4.18,7.07,,33.5,9.83
44,Jentz Painter,,FS,Utah State,,5075,175,113.9,-0.3,37.2,Painter,5075,175,,,,4.51,2.6,1.57,4.27,7.22,15,35.5,10.92
45,Kivon Coman,,FS,Mississippi State,,5115,209,113.7,-0.3,36.5,Coman,5115,209,,,,4.54,2.67,1.62,4.34,7.06,,39.5,9.58
46,Rickey Jefferson,,FS,LSU,,5106,208,113.7,-0.3,36.4,Jefferson,5106,208,,,,4.59,2.59,1.6,4.33,6.96,17,35.5,10
47,Reggie Daniels,,SS,Oregon,,6003,201,114.9,-0.4,36,Daniels,6003,201,,,,4.59,2.68,1.59,4.2,6.97,13,35,10.17
48,Deron Washington,,FS,Pittsburg State,,6004,215,113.2,-0.4,34.6,Washington,6004,215,,,,4.43,2.57,1.5,4.56,7.25,23,32.5,10
49,Hatari Byrd,,SS,Texas A&M-Commerce,,6003,207,114,-0.4,32.9,Byrd,6003,207,,,,4.66,2.64,1.58,4.28,7.15,19,35,10.17
50,Nicholas Morrow,,SS,Greenville,,6003,216,113.8,-0.5,32.2,Morrow,6003,216,,,,4.52,2.63,1.66,4.45,7.08,23,37,10.25
51,Alex Gray,,SS,Appalachian State,,6024,219,113.7,-0.5,32.1,Gray,6024,219,,,,4.61,2.69,1.55,4.42,7.37,15,35,10.25
52,Delano Hill,DB18,DS,Michigan,21.8,6006,216,113.1,-0.5,32,Hill,6006,216,32.125,9.375,77.5,4.47,2.62,1.58,4.27,6.96,17,33.5,9.58
53,Daniel Henry,,SS,New Mexico,,6003,186,113.6,-0.5,31.8,Henry,6003,186,,,,4.53,,1.56,4.31,7.28,,38,10.25
54,Laronji Vason,,FS,West Georgia,,5085,173,112.3,-0.5,31.3,Vason,5085,173,,,,4.54,2.59,1.45,4.03,6.95,9,31,9.92
55,Donte Carey,,SS,Grand Valley State,,5116,199,113.4,-0.5,30.9,Carey,5116,199,,,,4.59,2.71,1.58,4.13,6.87,14,32.5,10.08
56,Lavell Sanders,,SS,Northern Colorado,,5112,205,112.8,-0.5,29.2,Sanders,5112,205,,,,4.53,2.69,1.45,4.61,7.4,23,35,9.92
57,Devonta Foster,,SS,Southern Miss,,5110,193,112.4,-0.6,27.8,Foster,5110,193,,,,4.55,2.63,1.63,,,,36,10.33
58,Arnel Farmer Jr.,,SS,California (PA),,6022,205,112.2,-0.6,27.1,Farmer Jr.,6022,205,,,,4.55,,1.55,4.44,7.21,21,35.5,9.92
59,Wilfred Wahee,,FS,Virginia,,5094,201,111,-0.6,26.9,Wahee,5094,201,,,,4.68,2.7,1.58,4.5,7.06,19,34.5,10.5
60,Malik Golden,,SS,Penn State,,6002,201,111.6,-0.7,25.3,Golden,6002,201,,,,4.5,2.58,1.64,4.33,7.06,16,35,10.42
61,DJ Juste,,SS,Florida Atlantic,,5110,190,111.5,-0.7,24.9,Juste,5110,190,,,,4.74,2.72,1.56,4.21,7,14,36,9.92
62,Jarrod Harper,,SS,West Virginia,,5117,211,111.3,-0.7,24.3,Harper,5117,211,,,,4.64,2.65,1.63,4.13,6.75,15,32,9.92
63,Connery Swift,,FS,Toledo,,5093,199,110.1,-0.7,23.9,Swift,5093,199,,,,4.67,2.68,1.53,4.24,7.19,16,34,9.75
64,Jalen Champagne,,SS,Colorado Mines,,6020,204,111,-0.7,23.6,Champagne,6020,204,,,,4.69,2.68,1.65,,,,38,10.25
