#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
37,Cole Hikutini,TE07,TE,Louisville,23.2,6043,247,108.3,-0.7,25.3,Hikutini,6043,247,32.75,10,78.75,4.85,2.77,1.68,4.57,7.22,20,34.5,10
38,Tyler Cameron,,TE,Florida Atlantic,,6027,232,108,-0.7,24.6,Cameron,6027,232,,,,4.75,2.75,1.6,4.44,7.38,22,35.5,9.33
39,Jake Maulhardt,,TE,Wyoming,,6052,241,106.9,-0.8,22.2,Maulhardt,6052,241,,,,4.71,2.79,1.69,4.64,7.01,15,32,10
40,Phazahn Odom,,TE,Fordham,,6076,251,106.7,-0.8,21.6,Odom,6076,251,,,,4.79,2.69,1.7,4.55,7.27,18,33,9.92
41,Josh Kern,,TE,Arizona,,6045,235,106.2,-0.8,20.7,Kern,6045,235,,,,4.86,2.78,1.66,4.36,7.38,19,34,9.83
42,Colin Jeter,,TE,LSU,22.3,6057,251,104.9,-0.9,18,Jeter,6057,251,32.625,8.875,78,4.77,2.76,1.71,4.33,7.11,20,31,9.25
43,Wyatt Houston,,TE,Utah State,,6035,250,104.7,-0.9,17.6,Houston,6035,250,,,,4.82,2.79,1.68,4.58,7.34,18,33.5,9.83
44,DJ Dowdy,,TE,Cincinnati,,6032,252,104.7,-0.9,17.5,Dowdy,6032,252,,,,4.8,2.78,1.68,4.73,7.44,17,37,9.5
45,Tyler White,,TE,Illinois,,6044,253,102.7,-1.1,14,White,6044,253,,,,4.84,2.76,1.69,4.46,7.27,19,31,9.58
46,Josiah Price,,TE,Michigan State,,6037,249,102.6,-1.1,13.8,Price,6037,249,,,,4.89,2.77,1.71,4.51,7.32,25,33.5,9.58
47,Cole Gautsche,,TE,New Mexico,,6037,247,102.4,-1.1,13.5,Gautsche,6037,247,,,,4.81,,,4.44,7.44,17,30.5,9.92
48,Zak Pettit,,TE,Cal Davis,,6032,260,102.3,-1.1,13.4,Pettit,6032,260,,,,4.74,2.7,1.65,4.59,7.23,31,30,8.83
49,Cal Bloom,,TE,Central Florida,,6040,248,102,-1.1,13,Bloom,6040,248,,,,4.83,2.85,1.76,4.5,7.28,26,33,9.5
50,Hunter Thurley,,TE,Mississippi,,6040,235,101.5,-1.2,12.2,Thurley,6040,235,,,,4.82,2.76,1.67,4.49,7.15,16,34.5,9.17
51,Ricky Parks,,TE,Southern Miss,,6030,252,101.5,-1.2,12.1,Parks,6030,252,,,,4.8,2.68,1.68,4.39,7.68,15,34,9.33
52,Pharaoh Brown,TE01,TE,Oregon,23.3,6055,255,101,-1.2,11.4,Brown,6055,255,35.625,10.375,84.5,4.83,2.82,1.69,4.46,7.24,24,34,8.58
53,Billy Freeman,,TE,San Jose State,,6025,236,99.5,-1.3,9.4,Freeman,6025,236,,,,4.74,2.74,1.63,4.62,7.18,22,30.5,9.33
54,Josh Cook,,TE,Idaho State,,6025,231,99.4,-1.3,9.2,Cook,6025,231,,,,4.79,2.77,1.68,4.39,7,12,31,9.25
55,Andrew Price,,TE,UNLV,,6061,248,98.2,-1.4,7.9,Price,6061,248,,,,4.83,2.75,1.72,4.64,7.24,21,30.5,9.75
56,Scott Orndoff,TE13,TE,Pittsburgh,23.7,6047,253,97.9,-1.4,7.5,Orndoff,6047,253,33.25,10,80.375,4.69,2.69,1.67,4.45,7.37,17,27,9.33
57,Standish Dobard,,TE,Miami,,6033,254,97.7,-1.4,7.4,Dobard,6033,254,,,,4.73,2.77,1.65,4.68,7.78,24,30.5,9.5
58,Clark Eyers,,TE,North Carolina State,,6047,249,97.3,-1.5,7,Eyers,6047,249,,,,4.95,2.86,1.8,4.64,7.24,27,32.5,9.75
59,Evan Baylis,,TE,Oregon,,6054,244,97.3,-1.5,6.9,Baylis,6054,244,,,,4.87,2.82,1.69,4.39,7.23,17,29,9.5
60,Jamal Lyles,,TE,Michigan State,23.7,6032,246,96.6,-1.5,6.3,Lyles,6032,246,33.5,9.5,80.25,4.81,2.84,1.7,4.77,7.51,25,33.5,9.33
61,Romond Deloatch,,TE,Temple,,6035,231,96.6,-1.5,6.3,Deloatch,6035,231,,,,4.77,2.75,1.69,4.46,7.29,16,30.5,9.42
62,Alec Osborne,,TE,Louisiana-Monroe,,6031,238,96,-1.6,5.7,Osborne,6031,238,,,,4.75,2.71,1.72,4.47,7.55,18,32.5,9.25
63,Mike Estes,,TE,Gardner-Webb,,6041,239,95.3,-1.6,5.2,Estes,6041,239,,,,4.79,2.78,1.68,4.52,7.62,9,32.5,9.58
