#,Name,CID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
38,Quinterris Toppings,,QB,Alabama State,,6000,221,92.4,-0.3,38.3,Toppings,6000,221,,,,4.81,2.7,1.6,4.75,7.39,14,33.5,9.25
39,Matt Johns,,QB,Virginia,,6046,221,91,-0.4,35.2,Johns,6046,221,,,,4.97,2.95,1.78,4.51,7.07,,30.5,9.92
40,Jerod Evans,QB03,QB,Virginia Tech,23.6,6026,232,89.7,-0.5,32.4,Evans,6026,232,33.125,9.375,78.625,4.8,2.81,1.69,4.41,,,26.5,9.33
41,R.J. Nitti,,QB,Bucknell,,6052,225,89.4,-0.5,31.9,Nitti,6052,225,,,,4.95,2.9,1.76,4.38,7.4,,31.5,9.5
42,Steve Cluley,,QB,William & Mary,,6021,216,89.1,-0.5,31.1,Cluley,6021,216,,,,4.8,2.79,1.71,4.5,7.13,,29.5,9.25
43,Dillon Buechel,,QB,Duquesne,,6033,211,88.8,-0.5,30.7,Buechel,6033,211,,,,4.96,2.75,1.69,4.77,7.38,,34.5,9.75
44,David Washington,,QB,Old Dominion,,6024,214,88.8,-0.5,30.5,Washington,6024,214,,,,4.79,2.73,1.64,4.57,7.16,12,29.5,9.25
45,Brenden Motley,,QB,Virginia Tech,,6032,218,88.7,-0.5,30.5,Motley,6032,218,,,,4.83,2.73,1.77,4.59,7.43,,32,9.67
46,Jeff Kidd,,QB,LIU Post,,6033,225,88.7,-0.5,30.3,Kidd,6033,225,,,,4.91,2.75,1.65,,,,29,9.17
47,Brady Gustafson,,QB,Montana,23.7,6057,230,88.5,-0.5,30,Gustafson,6057,230,34,9.375,81.375,5.04,2.8,1.7,4.63,7.12,,34,9
48,Trenton Norvell,,QB,Western Illinois,,6042,222,88.5,-0.5,29.9,Norvell,6042,222,,,,4.92,2.82,1.62,4.5,7.38,,30,9.25
49,Kevin Ellison,,QB,Georgia Southern,,5110,181,88.1,-0.5,29.3,Ellison,5110,181,,,,4.7,2.69,1.67,4.31,7.07,8,29.5,9.33
50,Chad Voytik,,QB,Arkansas State,,6005,215,88,-0.6,29,Voytik,6005,215,,,,4.83,2.85,1.72,4.57,,12,33,9.58
51,Drew Bauer,,QB,Minnesota-Duluth,,6026,211,87.7,-0.6,28.3,Bauer,6026,211,,,,4.86,2.76,1.7,4.41,7.14,,31,8.92
52,Tyler OConnor,,QB,Michigan State,,6025,218,87.5,-0.6,28.1,OConnor,6025,218,,,,4.92,2.78,1.74,4.41,7.18,,30,9.33
53,Kyle Sloter,,QB,Northern Colorado,,6046,211,87.5,-0.6,28,Sloter,6046,211,,,,4.79,2.81,1.54,4.61,7.53,,30.5,9.08
54,Zach Kline,,QB,Fresno State,,6014,212,87.4,-0.6,27.8,Kline,6014,212,,,,4.84,2.77,1.75,4.37,7.14,,29.5,9.17
55,Wes Lunt,,QB,Illinois,23.9,6042,222,87.3,-0.6,27.7,Lunt,6042,222,32.875,9.125,77.75,4.87,2.81,1.69,4.44,7.28,,29.5,9.08
56,KD Humphries,,QB,Murray State,,6014,208,87.3,-0.6,27.6,Humphries,6014,208,,,,4.9,2.78,1.75,4.39,7.14,,33,8.92
57,DeShone Kizer,QB06,QB,Notre Dame,21.7,6042,233,86.6,-0.6,26.3,Kizer,6042,233,33.125,9.875,77.875,4.83,2.84,1.72,4.53,7.4,,30.5,8.92
58,Dakota Conwell,,QB,West Liberty,,6014,225,86.3,-0.7,25.7,Conwell,6014,225,,,,4.83,,1.72,4.71,7.5,16,34,9
59,Dane Evans,,QB,Tulsa,,6003,210,86,-0.7,25.1,Evans,6003,210,,,,5.05,2.84,1.74,4.41,7.22,,31,9.58
60,Ryan Higgins,,QB,Louisiana Tech,23.8,6006,211,85.8,-0.7,24.7,Higgins,6006,211,31.125,8.875,73.25,4.74,2.78,1.71,4.59,7.13,,28,9.25
61,Cooper Rush,QB12,QB,Central Michigan,,6025,228,85.5,-0.7,24.1,Rush,6025,228,32.375,9.125,75.5,4.93,2.89,1.72,4.46,7.23,,30,8.92
62,Allen Thigpen,,QB,Lindenwood,,6022,208,84.8,-0.7,23,Thigpen,6022,208,,,,4.84,2.78,1.64,4.42,7.69,,28.5,9.5
63,Jordan West,,QB,Eastern Washington,,6042,217,83.9,-0.8,21.4,West,6042,217,,,,5.02,2.86,1.67,4.37,6.96,,27.5,8.92
64,Nick Mullens,,QB,Southern Miss,22.5,6007,214,83.2,-0.8,20.3,Mullens,6007,214,30.25,9.125,74.25,4.9,2.84,1.65,4.47,7.4,,31,8.67
65,Jack Nelson,,QB,Winona State,,6043,237,83.1,-0.8,20.1,Nelson,6043,237,,,,4.85,2.85,1.76,4.65,7.14,,30.5,8.5
66,Bart Houston,,QB,Wisconsin,,6030,234,82.9,-0.9,19.7,Houston,6030,234,,,,5.12,3,1.77,4.44,7,,29,8.83
67,Kenny Potter,,QB,San Jose State,,6012,214,82.1,-0.9,18.5,Potter,6012,214,,,,4.88,2.83,1.75,4.41,7.32,,29,9
68,Ronald Butler,,QB,Tennessee State,,6015,176,82,-0.9,18.3,Butler,6015,176,,,,4.62,2.65,1.59,4.69,7.55,,29.5,9.42
69,Johnathan Bowen,,QB,Texas Southern,,6015,205,81.6,-0.9,17.7,Bowen,6015,205,,,,4.91,2.78,1.67,4.45,7.39,8,28.5,9.42
70,Alek Torgersen,,QB,Pennsylvania,,6023,218,81.5,-0.9,17.5,Torgersen,6023,218,32.625,9.25,75.875,4.91,2.75,1.72,4.68,7.75,,30,9.75
71,Tyler Johnson,,QB,Alfred,,6001,200,81.1,-1,16.9,Johnson,6001,200,,,,5.16,2.99,1.77,4.36,7.1,,30.5,9.25
72,Justin Alo,,QB,Southeastern,,6011,184,79.1,-1.1,14.2,Alo,6011,184,,,,4.94,2.77,1.7,4.56,7.48,,31.5,9.58
73,Dalton Easton,,QB,Bryant,,5112,207,78.6,-1.1,13.5,Easton,5112,207,,,,5.02,,1.71,4.48,7.15,,28.5,9
74,Kenneth Coleman,,QB,Florida A&M,,5111,180,78.2,-1.1,13,Coleman,5111,180,,,,4.69,2.56,1.61,,7.59,,30.5,8.83
75,Tyler Ferguson,,QB,Western Kentucky,,6027,224,77,-1.2,11.6,Ferguson,6027,224,,,,5.11,2.96,1.78,4.65,7.62,,31.5,9.25
76,Sefo Liufau,QB09,QB,Colorado,22.8,6033,232,76.5,-1.2,11.1,Liufau,6033,232,33.5,10.75,77.375,5.08,2.91,1.75,4.45,7.32,,27,8.75
77,Zach Terrell,,QB,Western Michigan,24.3,6012,212,76.5,-1.2,11,Terrell,6012,212,30.75,9.625,73.875,5.02,2.82,1.68,4.41,7.36,,28.5,8.58
78,Drew Hare,,QB,Northern Illinois,,6015,211,74,-1.4,8.6,Hare,6015,211,,,,5.04,3.01,1.77,4.56,7.25,,28.5,8.83
79,Tony Dawson,,QB,Houston Baptist,,5111,181,71.3,-1.5,6.3,Dawson,5111,181,,,,4.85,2.72,1.62,4.52,7.79,9,29,8.75
80,Tyler Jones,,QB,Texas State,,6017,211,68.9,-1.7,4.8,Jones,6017,211,,,,5.14,,1.75,4.55,7.29,14,27,8.58
81,Tyler Sullivan,,QB,Delta State,,6026,232,67.4,-1.8,4,Sullivan,6026,232,,,,5.21,3.06,1.84,4.95,7.97,,29,8.75
82,Kevin Lacey,,QB,Tuskegee,,6061,183,67.1,-1.8,3.8,Lacey,6061,183,,,,4.88,2.89,1.7,4.8,7.9,,27,9.17
83,Caleb Rowe,,QB,Maryland,,6030,207,66.3,-1.8,3.5,Rowe,6030,207,,,,5.09,2.83,1.73,4.51,7.58,,26,8.58
84,Chad Jeffries,,QB,Azusa Pacific,,6013,223,65.8,-1.8,3.2,Jeffries,6013,223,,,,5.08,2.92,1.75,4.59,7.63,,24.5,8.67
85,Jeff Ziemba,,QB,Shepherd,,6020,210,62.4,-2,2.1,Ziemba,6020,210,,,,5.12,2.96,1.71,4.88,7.63,,25.5,8.5
86,Sean Maguire,,QB,Florida State,23.5,6017,219,58.7,-2.3,1.2,Maguire,6017,219,30.875,8.875,75.5,5.24,3.01,1.87,4.66,7.53,,24,8.25
87,Brad Kaaya,QB04,QB,Miami,22,6037,214,,,,Kaaya,6037,214,32,9.75,76.375,,,,,,,,
88,C.J. Beathard,QB01,QB,Iowa,23.8,6024,219,,,,Beathard,6024,219,30.625,9.375,75,,,,4.23,6.95,,34.5,9.42
89,Seth Russell,QB13,QB,Baylor,23.6,6025,213,,,,Russell,6025,213,32.25,9.625,77.5,,,,,,,,
