#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
1,Chris Wormley,DL59,DT,Michigan,23.9,6051,298,132.7,1.5,93.9,Wormley,6051,298,34.125,10.5,82.75,4.86,2.75,1.62,4.59,7.08,23,31.5,9.17
2,Shaq Findlater,,DT,Southern Illinois,,6025,275,131.1,1.4,92.4,Findlater,6025,275,,,,4.91,2.69,1.59,4.57,7.27,21,32,9.75
3,Tanoh Kpassagnon,DL26,DT,Villanova,23.2,6066,289,126.7,1.1,86.7,Kpassagnon,6066,289,35.625,10.625,84.375,4.83,2.81,1.68,4.62,7.46,23,30,10.67
4,Francis Kallon,,DT,Georgia Tech,,6053,295,122.9,0.8,80.1,Kallon,6053,295,,,,5,2.84,1.67,4.53,7.13,21,31,9
5,Eddie Vanderdoes,DL52,DT,UCLA,22.9,6031,305,116.1,0.4,64,Vanderdoes,6031,305,33.125,10.625,78.75,4.99,2.85,1.69,4.39,7.69,28,28.5,9.25
6,Larry Ogunjobi,DL36,DT,Charlotte,23.2,6025,305,114.8,0.3,60.5,Ogunjobi,6025,305,32.625,10,78.25,4.97,2.9,1.76,4.75,7.55,26,32,9.67
7,Chris Fairchild,,DT,Kent State,,6015,303,114.4,0.2,59.4,Fairchild,6015,303,,,,5.18,3.01,1.68,4.59,7.72,31,29.5,9.08
8,Eli Ankou,,DT,UCLA,,6031,331,114.4,0.2,59.3,Ankou,6031,331,32.25,10.125,81.5,5.21,3,1.76,4.84,8.15,31,30,9.58
9,Tueni Lupeamanu,,DT,Idaho,,6002,282,113.7,0.2,57.4,Lupeamanu,6002,282,,,,4.99,2.85,1.71,4.49,7.37,26,32,9.08
10,DeOndre Hogan,,DT,Grand Valley State,,6007,287,113.6,0.2,57.2,Hogan,6007,287,,,,5.05,2.9,1.76,4.66,7.26,27,31,9.67
11,Pasoni Tasini,,DT,Utah,,6031,307,113.3,0.2,56.3,Tasini,6031,307,,,,5.06,2.9,1.71,4.82,,33,31,9.25
12,Patrick Ricard,,DT,Maine,,6033,300,112.9,0.1,55,Ricard,6033,300,,,,5.03,,,4.55,7.52,33,33.5,8.83
13,James Duberg,,DT,Harvard,,6023,289,112.8,0.1,54.9,Duberg,6023,289,,,,4.98,2.76,1.73,4.68,7.62,28,35,9.25
14,Darrien Howard,,DT,West Virginia,,6001,299,112.6,0.1,54.4,Howard,6001,299,,,,4.96,2.9,1.75,4.64,7.21,26,29,9.33
15,Isaac Rochell,DL42,DT,Notre Dame,22.4,6042,280,111.6,0,51.5,Rochell,6042,280,32.75,9.75,79.75,4.89,2.87,1.72,,,25,31.5,9.5
16,Malik McDowell,DL30,DT,Michigan State,21.2,6062,295,110.4,0,48.1,McDowell,6062,295,34.75,10.5,83,4.85,2.84,1.69,4.53,7.69,23,28.5,9.33
