#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
38,John Law,,ILB,Appalachian State,,5113,232,122.1,0.1,55.4,Law,5113,232,,,,4.75,2.68,1.59,4.17,7.03,19,35,9.92
39,Matt Milano,LB22,OLB,Boston College,24.2,6004,223,121.7,0.1,53.6,Milano,6004,223,32,9.375,75.625,4.67,2.72,1.65,,,24,35,10.5
40,Harvey Langi,DL27,ILB,BYU,24.9,6017,251,121.2,0.1,52.7,Langi,6017,251,32.875,9.125,76.5,4.66,2.7,1.65,4.32,7,23,33,9.83
41,Jimmy Herman,,OLB,Purdue,,6034,219,121.4,0.1,52.6,Herman,6034,219,,,,4.64,2.62,1.63,4.31,7,15,34,10.58
42,Raekwon McMillan,LB21,ILB,Ohio State,20.8,6017,240,120.5,0,50.4,McMillan,6017,240,33,9.75,76.125,4.61,2.69,1.61,4.39,7.15,23,33,10.08
43,Curtis Alexander,,OLB,Florida A&M,,6011,235,120,0,48.7,Alexander,6011,235,,,,4.67,2.56,1.52,4.57,7.76,20,40.5,10.08
44,Abner Logan,,OLB,Albany,,6015,243,119,-0.1,45.9,Logan,6015,243,,,,4.76,2.71,1.59,4.56,7.13,29,35.5,10
45,Justin Horton,,OLB,Jacksonville,,6012,242,119,-0.1,45.6,Horton,6012,242,,,,4.67,2.62,1.57,4.57,7.55,23,37,10.25
46,Tanner Vallejo,LB27,ILB,Boise State,,6012,228,118.8,-0.1,44.7,Vallejo,6012,228,30.5,9.625,73.25,4.65,2.72,1.62,4.3,7.08,19,33.5,10.08
47,Price Miller,,ILB,Stephen F. Austin,,6006,228,118.7,-0.1,44.2,Miller,6006,228,,,,4.89,2.75,1.66,4.16,7.12,17,37.5,10.17
48,Elcee Refuge,,ILB,Kent State,,5085,220,118.4,-0.2,43.3,Refuge,5085,220,,,,4.68,2.68,1.59,4.3,7,22,35,9.75
49,Alex Anzalone,LB02,ILB,Florida,21.9,6027,241,118,-0.2,42.1,Anzalone,6027,241,32.125,9.125,76.375,4.62,2.69,1.59,4.25,6.88,16,30.5,9.67
50,Shaan Washington,,OLB,Texas A&M,,6026,240,117.7,-0.2,41.9,Washington,6026,240,,,,4.79,2.79,1.7,,,19,37,10.33
51,Brooks Ellis,LB13,LB,Arkansas,22.6,6017,240,117.7,-0.2,41.6,Ellis,6017,240,31.75,9.75,76.5,4.71,2.65,1.61,4.25,6.79,21,31.5,9.58
52,James Onwualu,,LB,Notre Dame,22,6006,228,117.4,-0.2,40.8,Onwualu,6006,228,32.25,9.125,75.75,4.76,2.76,1.65,4.23,7.25,24,36,9.92
