#,Name,ID,Pos.,School,Age,HT,WT,pSPARQ,z-score,NFL%,LastName,HT,WT,Arm,Hand,Wing,40,20,10,SS,TC,BP,VJ,BJ
38,Myles Willis,,RB,Boston College,,5083,192,119.3,-0.2,43.6,Willis,5083,192,,,,4.52,2.66,1.58,4.11,6.88,15,37.5,9.58
39,Justin Thomas,,RB,Georgia Tech,,5091,186,119,-0.2,42.6,Thomas,5091,186,,,,4.35,2.49,1.42,4.14,7.19,,32,9.58
40,Dare Ogunbowale,RB22,RB,Wisconsin,23.3,5106,213,118.3,-0.2,40.3,Ogunbowale,5106,213,31.375,9.125,75.875,4.62,2.6,1.6,4.21,6.99,14,35,10
41,Keaun Kinner,,RB,Kansas,,5085,183,118,-0.3,39.5,Kinner,5085,183,,,,4.56,2.56,1.51,4.3,6.98,17,36,9.92
42,Terrell Newby,,RB,Nebraska,,5093,204,117.6,-0.3,38.2,Newby,5093,204,,,,4.53,2.65,1.56,4.22,6.87,,35,9.42
43,John Robinson-Woodgett,,FB,Massachusetts,,6010,248,105.7,-0.3,37.9,Robinson-Woodgett,6010,248,,,,4.79,2.79,1.64,4.35,7.17,23,34,8.75
44,William Stanback,,RB,Virginia Union,,5116,233,117.3,-0.3,37.3,Stanback,5116,233,,,,4.55,2.77,1.63,4.59,6.9,23,34,10.17
45,Jamaal Williams,RB31,RB,BYU,22.4,6003,212,117,-0.4,36.3,Williams,6003,212,31.25,10,73.25,4.53,2.62,1.6,4.26,7.12,18,33,10.25
46,D'Onta Foreman,RB08,RB,Texas,21.4,6000,233,116.6,-0.4,35.2,Foreman,6000,233,31.375,10.125,75.375,4.46,2.57,1.63,4.29,7.21,18,33,10
47,Max Betkowski,,FB,Cal Poly,,6030,249,104.5,-0.4,34.6,Betkowski,6030,249,,,,4.67,2.69,1.71,4.59,7.4,27,34,9.83
48,Kenneth Goins Jr.,,FB,Maryland,,5085,217,104.5,-0.4,34.6,Goins Jr.,5085,217,,,,4.69,2.71,1.59,4.51,7.27,25,31,9.75
49,Teriyon Gipson,,RB,New Mexico,22.6,5082,187,116,-0.4,33.5,Gipson,5082,187,29.25,8.25,70.25,4.46,,1.5,4.28,7.45,13,36.5,10
50,Joey Counts,,RB,Montana,,5081,214,115.8,-0.4,32.9,Counts,5081,214,,,,4.65,2.62,1.54,4.41,7.25,27,36,9.5
51,Mike Holloway,,RB,Charleston Southern,,5080,194,115.8,-0.4,32.7,Holloway,5080,194,,,,4.67,2.55,1.57,4.25,7.03,18,35.5,10
52,Cory Thomson,,FB,Weber State,,5091,215,103.8,-0.5,32.6,Thomson,5091,215,,,,4.58,2.67,1.65,4.55,7.11,,31.5,10
53,Darius Victor,,RB,Towson,,5071,227,115.7,-0.5,32.5,Victor,5071,227,,,,4.7,2.69,1.51,4.55,7.28,22,34.5,9.75
54,Samaje Perine,RB23,RB,Oklahoma,22,5105,233,115.7,-0.5,32.5,Perine,5105,233,30.375,10,74.25,4.6,2.67,1.59,4.37,7.26,30,33,9.67
55,Anthony Wales,,RB,Western Kentucky,,5087,197,115.6,-0.5,32.4,Wales,5087,197,30.125,8.25,73.125,4.51,2.54,1.59,4.23,6.83,13,37.5,9.33
56,Taquan Mizzell,,RB,Virginia,23.9,5096,197,115.3,-0.5,31.4,Mizzell,5096,197,30,8.625,74,4.55,2.67,1.51,4.25,7,15,34,9.5
57,Anthony Firkser,,FB,Harvard,,6015,246,102.8,-0.5,30.1,Firkser,6015,246,,,,4.82,2.7,1.69,4.29,7.06,21,31.5,9.17
58,Dale Harris,,RB,Yale,,5085,190,114.8,-0.5,29.9,Harris,5085,190,,,,4.58,2.62,1.56,4.33,7.23,18,35.5,10.25
59,Trey Foster,,FB,Nebraska,,6015,245,102.5,-0.5,29.4,Foster,6015,245,,,,4.88,2.81,1.71,4.29,7.26,17,31.5,9.83
60,Freddie Stevenson,RB29,FB,Florida State,22.4,6004,234,102.5,-0.5,29.3,Stevenson,6004,234,32.75,9.625,75.75,4.7,2.75,1.65,4.44,7.1,24,30.5,9.33
61,Ricky Ortiz,,FB,Oregon State,,6006,230,102.5,-0.5,29.2,Ortiz,6006,230,,,,4.9,2.83,1.7,4.46,7.19,26,33.5,9.83
62,Alex Ross,,RB,Missouri,,6005,205,114.1,-0.6,28.1,Ross,6005,205,,,,4.62,2.68,1.56,4.48,7.12,12,35.5,10.17
63,Darrin Laufasa,,FB,UTEP,,6005,235,101.9,-0.6,27.9,Laufasa,6005,235,,,,4.81,2.71,1.69,4.53,7.3,19,33.5,9.92
64,Kareem Hunt,RB14,RB,Toledo,22.1,5104,216,114,-0.6,27.7,Hunt,5104,216,31.375,9.625,74.125,4.6,2.66,1.58,4.53,7.22,18,36.5,9.92
65,DeAngelo Henderson,RB11,RB,Coastal Carolina,24.8,5074,208,113.3,-0.6,26,Henderson,5074,208,29,9.5,71.5,4.48,2.58,1.53,4.57,7.26,20,34,10
66,I'Tavius Mathers,,RB,Middle Tennessee State,23.8,5107,203,113.2,-0.7,25.7,Mathers,5107,203,31.25,8.5,74.5,4.46,2.56,1.58,4.36,7.17,21,32,10.17
67,Michael Abanikanda,,RB,Buffalo,,5083,195,113,-0.7,25.2,Abanikanda,5083,195,,,,4.7,2.72,1.58,4.38,7.07,14,36.5,10.08
68,Lamar Atkins,,FB,Louisville,,5105,236,100.2,-0.7,23.8,Atkins,5105,236,,,,4.8,2.73,1.72,4.14,7.29,21,31.5,9.33
69,Sam Rogers,RB26,FB,Virginia Tech,22.4,5102,231,100.1,-0.7,23.5,Rogers,5102,231,30.25,9.75,72.375,4.88,2.75,1.7,4.22,7.27,19,32,9.5
70,Marquez Williams,,FB,Miami,,5102,259,100.1,-0.7,23.4,Williams,5102,259,30,9.5,72.5,4.73,2.77,1.64,4.64,7.6,28,34.5,8.67
71,Dontravious Wilson,,RB,Central Florida,,5092,205,112.2,-0.7,23.3,Wilson,5092,205,,,,4.56,2.59,1.6,4.45,7.04,21,36,9.67
72,Jahray Hayes,,RB,Central Michigan,,5116,226,111.9,-0.8,22.5,Hayes,5116,226,,,,4.77,2.7,1.62,4.32,7.01,,34,9.58
73,Wayne Gallman,RB10,RB,Clemson,22.9,6004,215,111.9,-0.8,22.3,Gallman,6004,215,32.625,9.125,77,4.51,2.67,1.6,4.28,7.17,21,30.5,10
74,Malik Brown,,RB,Southern Utah,,6012,202,111.7,-0.8,21.9,Brown,6012,202,,,,4.53,2.57,1.61,4.22,6.91,14,31.5,10
75,Jordan Johnson,,RB,Buffalo,,6006,223,111.7,-0.8,21.8,Johnson,6006,223,,,,4.65,2.68,1.57,4.59,7.44,19,35.5,10.08
76,Jordan Ellis,,FB,Wyoming,,6006,245,99.2,-0.8,21.6,Ellis,6006,245,,,,4.85,2.79,1.7,4.59,7.25,22,33,9.58
77,Khalid Abdullah,,RB,James Madison,,5093,211,111.4,-0.8,21.2,Abdullah,5093,211,,,,4.69,2.71,1.63,4.45,7.21,,35.5,10.25
78,Keegan Metcalf,,FB,Oklahoma State,,5112,215,99,-0.8,21.2,Metcalf,5112,215,,,,4.86,2.79,1.63,4.53,7.38,18,33.5,9.75
79,Fabian Johnson,,RB,Western Michigan,,5073,197,111.3,-0.8,21,Johnson,5073,197,,,,4.72,2.66,1.54,4.5,7.25,16,37.5,9.83
80,LeShun Daniels Jr.,,RB,Iowa,,5107,222,110.9,-0.8,20.1,Daniels Jr.,5107,222,,,,4.57,2.64,1.61,4.45,7.28,21,36,9.5
